# Die konservative Segmentprojektion: Kraft und Flaeche je Segment,
# und der daraus gebildete Segmentdruck.  Diese Groesse konvergiert.
shape,Pi,level,d_mid_m,tau_mid,area_m2,force_N,pressure_Pa
pi-0.50,-5.000000000e-01,1,1.623855146e-06,6.786739143e-01,1.116354485e-11,5.886938677e-08,5.273359631e+03
pi-0.50,-5.000000000e-01,1,1.145637215e-06,7.733029805e-01,1.063187953e-11,6.915587291e-08,6.504576420e+03
pi-0.50,-5.000000000e-01,1,7.448897111e-07,8.526023114e-01,9.823486119e-12,8.355527829e-08,8.505664616e+03
pi-0.50,-5.000000000e-01,1,4.091297379e-07,9.190420047e-01,8.844081029e-12,1.109824098e-07,1.254877804e+04
pi-0.50,-5.000000000e-01,1,1.281102753e-07,9.746497258e-01,7.849334240e-12,1.226627087e-07,1.562714810e+04
pi-0.50,-5.000000000e-01,2,4.880700072e-06,3.421419499e-02,3.756626964e-13,1.219550558e-09,3.246397819e+03
pi-0.50,-5.000000000e-01,2,4.511092809e-06,1.073515406e-01,1.340748967e-12,4.393411091e-09,3.276833472e+03
pi-0.50,-5.000000000e-01,2,4.090365012e-06,1.906045430e-01,2.710427271e-12,9.088546770e-09,3.353178618e+03
pi-0.50,-5.000000000e-01,2,3.610909828e-06,2.854784348e-01,4.626278787e-12,1.617725965e-08,3.496819018e+03
pi-0.50,-5.000000000e-01,2,3.081163052e-06,3.903039535e-01,6.787477079e-12,2.526295816e-08,3.721995355e+03
pi-0.50,-5.000000000e-01,2,2.561562126e-06,4.931218262e-01,7.660661716e-12,3.099769154e-08,4.046346477e+03
pi-0.50,-5.000000000e-01,2,2.100232219e-06,5.844091146e-01,7.988428364e-12,3.585171980e-08,4.487956601e+03
pi-0.50,-5.000000000e-01,2,1.693650941e-06,6.648628244e-01,8.006583449e-12,4.057055072e-08,5.067148926e+03
pi-0.50,-5.000000000e-01,2,1.335128788e-06,7.358066646e-01,7.804142326e-12,4.551268490e-08,5.831862491e+03
pi-0.50,-5.000000000e-01,2,1.019184629e-06,7.983252335e-01,7.450094494e-12,5.120158441e-08,6.872608724e+03
pi-0.50,-5.000000000e-01,2,7.408275019e-07,8.534061355e-01,7.012310222e-12,5.870370242e-08,8.371521020e+03
pi-0.50,-5.000000000e-01,2,4.955768324e-07,9.019359799e-01,6.521461458e-12,7.020005001e-08,1.076446598e+04
pi-0.50,-5.000000000e-01,2,2.795435639e-07,9.446843277e-01,6.012624222e-12,9.399396791e-08,1.563276939e+04
pi-0.50,-5.000000000e-01,2,8.918049223e-08,9.823530944e-01,5.506478437e-12,1.073769647e-07,1.950011534e+04
pi-0.50,-5.000000000e-01,3,4.940906319e-06,2.230067089e-02,1.596014506e-13,5.137907167e-10,3.219210820e+03
pi-0.50,-5.000000000e-01,3,4.705379112e-06,6.890645064e-02,5.374487484e-13,1.735424335e-09,3.229004328e+03
pi-0.50,-5.000000000e-01,3,4.448588088e-06,1.197198836e-01,1.018314191e-12,3.314431475e-09,3.254822041e+03
pi-0.50,-5.000000000e-01,3,4.168498178e-06,1.751436662e-01,1.624724611e-12,5.363495092e-09,3.301171814e+03
pi-0.50,-5.000000000e-01,3,3.862907864e-06,2.356134313e-01,2.384493628e-12,8.045635498e-09,3.374148457e+03
pi-0.50,-5.000000000e-01,3,3.529469434e-06,3.015937411e-01,3.328733672e-12,1.159316982e-08,3.482756797e+03
pi-0.50,-5.000000000e-01,3,3.170063283e-06,3.727125056e-01,4.382276416e-12,1.591844779e-08,3.632460912e+03
pi-0.50,-5.000000000e-01,3,2.810492489e-06,4.438638494e-01,4.898090774e-12,1.874852629e-08,3.827721280e+03
pi-0.50,-5.000000000e-01,3,2.476295839e-06,5.099941946e-01,5.169264126e-12,2.104666059e-08,4.071500328e+03
pi-0.50,-5.000000000e-01,3,2.169152462e-06,5.707712776e-01,5.312814953e-12,2.319030745e-08,4.364975564e+03
pi-0.50,-5.000000000e-01,3,1.886829288e-06,6.266369751e-01,5.359092459e-12,2.526791259e-08,4.714961122e+03
pi-0.50,-5.000000000e-01,3,1.627296727e-06,6.779928994e-01,5.325452128e-12,2.733514570e-08,5.132924874e+03
pi-0.50,-5.000000000e-01,3,1.388708398e-06,7.252044097e-01,5.234139686e-12,2.949756081e-08,5.635608252e+03
pi-0.50,-5.000000000e-01,3,1.169385283e-06,7.686037473e-01,5.094358319e-12,3.182984976e-08,6.248058688e+03
pi-0.50,-5.000000000e-01,3,9.677893303e-07,8.084952602e-01,4.923529042e-12,3.450915184e-08,7.009027783e+03
pi-0.50,-5.000000000e-01,3,7.824737907e-07,8.451652286e-01,4.727287561e-12,3.773327667e-08,7.982014250e+03
pi-0.50,-5.000000000e-01,3,6.121299117e-07,8.788726267e-01,4.516597274e-12,4.191076650e-08,9.279279058e+03
pi-0.50,-5.000000000e-01,3,4.555725552e-07,9.098519679e-01,4.293369340e-12,4.775800203e-08,1.112366495e+04
pi-0.50,-5.000000000e-01,3,3.117313789e-07,9.383150498e-01,4.065884521e-12,5.709906528e-08,1.404345475e+04
