# Knoten des beweglichen Netzes in einem Fenster um die Austrittskante.
shape,i,j,r_m,z_m
pi+0.00,23,114,9.514247036e-06,-2.417096443e-05
pi+0.00,24,114,1.029194019e-05,-2.417096443e-05
pi+0.00,25,114,1.098060666e-05,-2.417096443e-05
pi+0.00,26,114,1.159019831e-05,-2.417096443e-05
pi+0.00,27,114,1.213007864e-05,-2.417096443e-05
pi+0.00,28,114,1.260754993e-05,-2.417096443e-05
pi+0.00,29,114,1.303017470e-05,-2.417096443e-05
pi+0.00,30,114,1.340423924e-05,-2.417096443e-05
pi+0.00,31,114,1.373531863e-05,-2.417096443e-05
pi+0.00,32,114,1.402849407e-05,-2.417096443e-05
pi+0.00,33,114,1.419020519e-05,-2.417096443e-05
pi+0.00,34,114,1.437308621e-05,-2.417096443e-05
pi+0.00,35,114,1.458031552e-05,-2.417096443e-05
pi+0.00,36,114,1.481479709e-05,-2.417096443e-05
pi+0.00,37,114,1.508025345e-05,-2.417096443e-05
pi+0.00,38,114,1.538095162e-05,-2.417096443e-05
pi+0.00,0,115,0.000000000e+00,-2.117211040e-05
pi+0.00,1,115,3.457928304e-07,-2.117211040e-05
pi+0.00,2,115,7.390462315e-07,-2.117211040e-05
pi+0.00,3,115,1.186568459e-06,-2.117211040e-05
pi+0.00,4,115,1.696085312e-06,-2.117211040e-05
pi+0.00,5,115,2.242036574e-06,-2.117211040e-05
pi+0.00,6,115,2.728788634e-06,-2.117211040e-05
pi+0.00,7,115,3.156170042e-06,-2.117211040e-05
pi+0.00,8,115,3.531869760e-06,-2.117211040e-05
pi+0.00,9,115,3.862049691e-06,-2.117211040e-05
pi+0.00,10,115,4.151961149e-06,-2.117211040e-05
pi+0.00,11,115,4.406719149e-06,-2.117211040e-05
pi+0.00,12,115,4.630479836e-06,-2.117211040e-05
pi+0.00,13,115,4.827106181e-06,-2.117211040e-05
pi+0.00,14,115,5.000000000e-06,-2.117211040e-05
pi+0.00,15,115,5.276945520e-06,-2.117211040e-05
pi+0.00,16,115,5.589696666e-06,-2.117211040e-05
pi+0.00,17,115,5.943053339e-06,-2.117211040e-05
pi+0.00,18,115,6.342281999e-06,-2.117211040e-05
pi+0.00,19,115,6.793320927e-06,-2.117211040e-05
pi+0.00,20,115,7.303313988e-06,-2.117211040e-05
pi+0.00,21,115,7.879159206e-06,-2.117211040e-05
pi+0.00,22,115,8.529701749e-06,-2.117211040e-05
pi+0.00,23,115,9.264342534e-06,-2.117211040e-05
pi+0.00,24,115,9.998983318e-06,-2.117211040e-05
pi+0.00,25,115,1.064952586e-05,-2.117211040e-05
pi+0.00,26,115,1.122537108e-05,-2.117211040e-05
pi+0.00,27,115,1.173536414e-05,-2.117211040e-05
pi+0.00,28,115,1.218640307e-05,-2.117211040e-05
pi+0.00,29,115,1.258563173e-05,-2.117211040e-05
pi+0.00,30,115,1.293898840e-05,-2.117211040e-05
pi+0.00,31,115,1.325173955e-05,-2.117211040e-05
pi+0.00,32,115,1.352868507e-05,-2.117211040e-05
pi+0.00,33,115,1.369083079e-05,-2.117211040e-05
pi+0.00,34,115,1.387420332e-05,-2.117211040e-05
pi+0.00,35,115,1.408198956e-05,-2.117211040e-05
pi+0.00,36,115,1.431710132e-05,-2.117211040e-05
pi+0.00,37,115,1.458327111e-05,-2.117211040e-05
pi+0.00,38,115,1.488477742e-05,-2.117211040e-05
pi+0.00,0,116,0.000000000e+00,-1.852802303e-05
pi+0.00,1,116,3.457928304e-07,-1.852802303e-05
pi+0.00,2,116,7.390462315e-07,-1.852802303e-05
pi+0.00,3,116,1.186568459e-06,-1.852802303e-05
pi+0.00,4,116,1.696085312e-06,-1.852802303e-05
pi+0.00,5,116,2.242036574e-06,-1.852802303e-05
pi+0.00,6,116,2.728788634e-06,-1.852802303e-05
pi+0.00,7,116,3.156170042e-06,-1.852802303e-05
pi+0.00,8,116,3.531869760e-06,-1.852802303e-05
pi+0.00,9,116,3.862049691e-06,-1.852802303e-05
pi+0.00,10,116,4.151961149e-06,-1.852802303e-05
pi+0.00,11,116,4.406719149e-06,-1.852802303e-05
pi+0.00,12,116,4.630479836e-06,-1.852802303e-05
pi+0.00,13,116,4.827106181e-06,-1.852802303e-05
pi+0.00,14,116,5.000000000e-06,-1.852802303e-05
pi+0.00,15,116,5.262635613e-06,-1.852802303e-05
pi+0.00,16,116,5.559226758e-06,-1.852802303e-05
pi+0.00,17,116,5.894325323e-06,-1.852802303e-05
pi+0.00,18,116,6.272925648e-06,-1.852802303e-05
pi+0.00,19,116,6.700659179e-06,-1.852802303e-05
pi+0.00,20,116,7.184300655e-06,-1.852802303e-05
pi+0.00,21,116,7.730391675e-06,-1.852802303e-05
pi+0.00,22,116,8.347320375e-06,-1.852802303e-05
pi+0.00,23,116,9.044001919e-06,-1.852802303e-05
pi+0.00,24,116,9.740683464e-06,-1.852802303e-05
pi+0.00,25,116,1.035761216e-05,-1.852802303e-05
pi+0.00,26,116,1.090370318e-05,-1.852802303e-05
pi+0.00,27,116,1.138734466e-05,-1.852802303e-05
pi+0.00,28,116,1.181507819e-05,-1.852802303e-05
pi+0.00,29,116,1.219367852e-05,-1.852802303e-05
pi+0.00,30,116,1.252877708e-05,-1.852802303e-05
pi+0.00,31,116,1.282536823e-05,-1.852802303e-05
pi+0.00,32,116,1.308800384e-05,-1.852802303e-05
pi+0.00,33,116,1.325053276e-05,-1.852802303e-05
pi+0.00,34,116,1.343433864e-05,-1.852802303e-05
pi+0.00,35,116,1.364261594e-05,-1.852802303e-05
pi+0.00,36,116,1.387828333e-05,-1.852802303e-05
pi+0.00,37,116,1.414508214e-05,-1.852802303e-05
pi+0.00,38,116,1.444730100e-05,-1.852802303e-05
pi+0.00,0,117,0.000000000e+00,-1.619535133e-05
pi+0.00,1,117,3.457928304e-07,-1.619535133e-05
pi+0.00,2,117,7.390462315e-07,-1.619535133e-05
pi+0.00,3,117,1.186568459e-06,-1.619535133e-05
pi+0.00,4,117,1.696085312e-06,-1.619535133e-05
pi+0.00,5,117,2.242036574e-06,-1.619535133e-05
pi+0.00,6,117,2.728788634e-06,-1.619535133e-05
pi+0.00,7,117,3.156170042e-06,-1.619535133e-05
pi+0.00,8,117,3.531869760e-06,-1.619535133e-05
pi+0.00,9,117,3.862049691e-06,-1.619535133e-05
pi+0.00,10,117,4.151961149e-06,-1.619535133e-05
pi+0.00,11,117,4.406719149e-06,-1.619535133e-05
pi+0.00,12,117,4.630479836e-06,-1.619535133e-05
pi+0.00,13,117,4.827106181e-06,-1.619535133e-05
pi+0.00,14,117,5.000000000e-06,-1.619535133e-05
pi+0.00,15,117,5.250011100e-06,-1.619535133e-05
pi+0.00,16,117,5.532345538e-06,-1.619535133e-05
pi+0.00,17,117,5.851336402e-06,-1.619535133e-05
pi+0.00,18,117,6.211737957e-06,-1.619535133e-05
pi+0.00,19,117,6.618910958e-06,-1.619535133e-05
pi+0.00,20,117,7.079304489e-06,-1.619535133e-05
pi+0.00,21,117,7.599145706e-06,-1.619535133e-05
pi+0.00,22,117,8.186419538e-06,-1.619535133e-05
pi+0.00,23,117,8.849612610e-06,-1.619535133e-05
pi+0.00,24,117,9.512805683e-06,-1.619535133e-05
pi+0.00,25,117,1.010007951e-05,-1.619535133e-05
pi+0.00,26,117,1.061992073e-05,-1.619535133e-05
pi+0.00,27,117,1.108031426e-05,-1.619535133e-05
pi+0.00,28,117,1.148748726e-05,-1.619535133e-05
pi+0.00,29,117,1.184788882e-05,-1.619535133e-05
pi+0.00,30,117,1.216687968e-05,-1.619535133e-05
pi+0.00,31,117,1.244921412e-05,-1.619535133e-05
pi+0.00,32,117,1.269922522e-05,-1.619535133e-05
pi+0.00,33,117,1.286209220e-05,-1.619535133e-05
pi+0.00,34,117,1.304628040e-05,-1.619535133e-05
pi+0.00,35,117,1.325499092e-05,-1.619535133e-05
pi+0.00,36,117,1.349114850e-05,-1.619535133e-05
pi+0.00,37,117,1.375850226e-05,-1.619535133e-05
pi+0.00,38,117,1.406134973e-05,-1.619535133e-05
pi+0.00,0,118,0.000000000e+00,-1.413703737e-05
pi+0.00,1,118,3.457928304e-07,-1.413703737e-05
pi+0.00,2,118,7.390462315e-07,-1.413703737e-05
pi+0.00,3,118,1.186568459e-06,-1.413703737e-05
pi+0.00,4,118,1.696085312e-06,-1.413703737e-05
pi+0.00,5,118,2.242036574e-06,-1.413703737e-05
pi+0.00,6,118,2.728788634e-06,-1.413703737e-05
pi+0.00,7,118,3.156170042e-06,-1.413703737e-05
pi+0.00,8,118,3.531869760e-06,-1.413703737e-05
pi+0.00,9,118,3.862049691e-06,-1.413703737e-05
pi+0.00,10,118,4.151961149e-06,-1.413703737e-05
pi+0.00,11,118,4.406719149e-06,-1.413703737e-05
pi+0.00,12,118,4.630479836e-06,-1.413703737e-05
pi+0.00,13,118,4.827106181e-06,-1.413703737e-05
pi+0.00,14,118,5.000000000e-06,-1.413703737e-05
pi+0.00,15,118,5.238871422e-06,-1.413703737e-05
pi+0.00,16,118,5.508625960e-06,-1.413703737e-05
pi+0.00,17,118,5.813403633e-06,-1.413703737e-05
pi+0.00,18,118,6.157746872e-06,-1.413703737e-05
pi+0.00,19,118,6.546777574e-06,-1.413703737e-05
pi+0.00,20,118,6.986657474e-06,-1.413703737e-05
pi+0.00,21,118,7.483336264e-06,-1.413703737e-05
pi+0.00,22,118,8.044443092e-06,-1.413703737e-05
pi+0.00,23,118,8.678086447e-06,-1.413703737e-05
pi+0.00,24,118,9.311729803e-06,-1.413703737e-05
pi+0.00,25,118,9.872836631e-06,-1.413703737e-05
pi+0.00,26,118,1.036951542e-05,-1.413703737e-05
pi+0.00,27,118,1.080939532e-05,-1.413703737e-05
pi+0.00,28,118,1.119842602e-05,-1.413703737e-05
pi+0.00,29,118,1.154276926e-05,-1.413703737e-05
pi+0.00,30,118,1.184754693e-05,-1.413703737e-05
pi+0.00,31,118,1.211730147e-05,-1.413703737e-05
pi+0.00,32,118,1.235617289e-05,-1.413703737e-05
pi+0.00,33,118,1.251933817e-05,-1.413703737e-05
pi+0.00,34,118,1.270386373e-05,-1.413703737e-05
pi+0.00,35,118,1.291295651e-05,-1.413703737e-05
pi+0.00,36,118,1.314954663e-05,-1.413703737e-05
pi+0.00,37,118,1.341739006e-05,-1.413703737e-05
pi+0.00,38,118,1.372079221e-05,-1.413703737e-05
pi+0.00,0,119,0.000000000e+00,-1.232170124e-05
pi+0.00,1,119,3.457928304e-07,-1.232170124e-05
pi+0.00,2,119,7.390462315e-07,-1.232170124e-05
pi+0.00,3,119,1.186568459e-06,-1.232170124e-05
pi+0.00,4,119,1.696085312e-06,-1.232170124e-05
pi+0.00,5,119,2.242036574e-06,-1.232170124e-05
pi+0.00,6,119,2.728788634e-06,-1.232170124e-05
pi+0.00,7,119,3.156170042e-06,-1.232170124e-05
pi+0.00,8,119,3.531869760e-06,-1.232170124e-05
pi+0.00,9,119,3.862049691e-06,-1.232170124e-05
pi+0.00,10,119,4.151961149e-06,-1.232170124e-05
pi+0.00,11,119,4.406719149e-06,-1.232170124e-05
pi+0.00,12,119,4.630479836e-06,-1.232170124e-05
pi+0.00,13,119,4.827106181e-06,-1.232170124e-05
pi+0.00,14,119,5.000000000e-06,-1.232170124e-05
pi+0.00,15,119,5.229046750e-06,-1.232170124e-05
pi+0.00,16,119,5.487706407e-06,-1.232170124e-05
pi+0.00,17,119,5.779948714e-06,-1.232170124e-05
pi+0.00,18,119,6.110129274e-06,-1.232170124e-05
pi+0.00,19,119,6.483159321e-06,-1.232170124e-05
pi+0.00,20,119,6.904947162e-06,-1.232170124e-05
pi+0.00,21,119,7.381197781e-06,-1.232170124e-05
pi+0.00,22,119,7.919226542e-06,-1.232170124e-05
pi+0.00,23,119,8.526808437e-06,-1.232170124e-05
pi+0.00,24,119,9.134390332e-06,-1.232170124e-05
pi+0.00,25,119,9.672419093e-06,-1.232170124e-05
pi+0.00,26,119,1.014866971e-05,-1.232170124e-05
pi+0.00,27,119,1.057045755e-05,-1.232170124e-05
pi+0.00,28,119,1.094348760e-05,-1.232170124e-05
pi+0.00,29,119,1.127366816e-05,-1.232170124e-05
pi+0.00,30,119,1.156591047e-05,-1.232170124e-05
