# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.00,0.000000000e+00,3,2.355054313e-07,4.764494569e-06,0.000000000e+00,9.528989137e-01,5.964642645e+07,1.575025511e+04,5.050226697e-02
pi+0.00,0.000000000e+00,3,1.126963986e-07,4.887303601e-06,0.000000000e+00,9.774607203e-01,6.951282933e+07,2.139186580e+04,9.395964295e-02
pi+0.00,0.000000000e+00,3,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,7.295294801e+07,2.356158091e+04,3.467408057e-01
pi+0.00,0.000000000e+00,4,5.000000000e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.404483408e+07,5.131226414e+03,8.762590931e-05
pi+0.00,0.000000000e+00,4,4.838741902e-06,1.612580976e-07,0.000000000e+00,3.225161952e-02,3.406102198e+07,5.136107244e+03,1.813004127e-04
pi+0.00,0.000000000e+00,4,4.667083041e-06,3.329169590e-07,0.000000000e+00,6.658339180e-02,3.409342708e+07,5.145884710e+03,3.028661886e-04
pi+0.00,0.000000000e+00,4,4.484419017e-06,5.155809832e-07,0.000000000e+00,1.031161966e-01,3.415044205e+07,5.163110186e+03,4.491184647e-04
pi+0.00,0.000000000e+00,4,4.289952056e-06,7.100479442e-07,0.000000000e+00,1.420095888e-01,3.423755023e+07,5.189483067e+03,6.124581013e-04
pi+0.00,0.000000000e+00,4,4.082917034e-06,9.170829662e-07,0.000000000e+00,1.834165932e-01,3.436141204e+07,5.227099158e+03,7.939723625e-04
pi+0.00,0.000000000e+00,4,3.862587215e-06,1.137412785e-06,0.000000000e+00,2.274825570e-01,3.453049147e+07,5.278666852e+03,9.972964916e-04
pi+0.00,0.000000000e+00,4,3.628012977e-06,1.371987023e-06,0.000000000e+00,2.743974047e-01,3.475566441e+07,5.347735569e+03,1.228048241e-03
pi+0.00,0.000000000e+00,4,3.378285665e-06,1.621714335e-06,0.000000000e+00,3.243428670e-01,3.505130033e+07,5.439099482e+03,1.494535229e-03
pi+0.00,0.000000000e+00,4,3.112600154e-06,1.887399846e-06,0.000000000e+00,3.774799692e-01,3.542006893e+07,5.554149154e+03,1.796199969e-03
pi+0.00,0.000000000e+00,4,2.848280562e-06,2.151719438e-06,0.000000000e+00,4.303438877e-01,3.586146914e+07,5.693441846e+03,2.133526153e-03
pi+0.00,0.000000000e+00,4,2.600030539e-06,2.399969461e-06,0.000000000e+00,4.799938922e-01,3.637161975e+07,5.856579168e+03,2.506882813e-03
pi+0.00,0.000000000e+00,4,2.366789849e-06,2.633210151e-06,0.000000000e+00,5.266420303e-01,3.694088486e+07,6.041340615e+03,2.914911652e-03
pi+0.00,0.000000000e+00,4,2.147630652e-06,2.852369348e-06,0.000000000e+00,5.704738696e-01,3.757115366e+07,6.249248513e+03,3.365886884e-03
