# Potential und Feldstaerke in einem festen Fenster, identisch fuer jede
# vorgeschriebene Form.  Punkte im Leiter tragen kein Feld und sind leer.
shape,r_m,z_m,phi_V,E_V_per_m
pi+0.00,1.541666667e-05,-9.750000000e-06,1.364499210e+03,1.550262110e+07
pi+0.00,1.562500000e-05,-9.750000000e-06,1.361443804e+03,1.525673842e+07
pi+0.00,1.583333333e-05,-9.750000000e-06,1.358388397e+03,1.501135252e+07
pi+0.00,1.604166667e-05,-9.750000000e-06,1.355466377e+03,1.478119667e+07
pi+0.00,1.625000000e-05,-9.750000000e-06,1.352581497e+03,1.455556528e+07
pi+0.00,1.645833333e-05,-9.750000000e-06,1.349696616e+03,1.433036878e+07
pi+0.00,1.666666667e-05,-9.750000000e-06,1.346864773e+03,1.411152845e+07
pi+0.00,1.687500000e-05,-9.750000000e-06,1.344156010e+03,1.390677447e+07
pi+0.00,1.708333333e-05,-9.750000000e-06,1.341447248e+03,1.370238631e+07
pi+0.00,1.729166667e-05,-9.750000000e-06,1.338738485e+03,1.349838058e+07
pi+0.00,1.750000000e-05,-9.750000000e-06,1.336094176e+03,1.330508510e+07
pi+0.00,1.770833333e-05,-9.750000000e-06,1.333565603e+03,1.313061994e+07
pi+0.00,1.791666667e-05,-9.750000000e-06,1.331037029e+03,1.295643565e+07
pi+0.00,1.812500000e-05,-9.750000000e-06,1.328508456e+03,1.278254372e+07
pi+0.00,1.833333333e-05,-9.750000000e-06,1.325979883e+03,1.260895624e+07
pi+0.00,1.854166667e-05,-9.750000000e-06,1.323606414e+03,1.245270313e+07
pi+0.00,1.875000000e-05,-9.750000000e-06,1.321251209e+03,1.229868919e+07
pi+0.00,1.895833333e-05,-9.750000000e-06,1.318896004e+03,1.214491419e+07
pi+0.00,1.916666667e-05,-9.750000000e-06,1.316540799e+03,1.199138731e+07
pi+0.00,1.937500000e-05,-9.750000000e-06,1.314236390e+03,1.183893964e+07
pi+0.00,1.958333333e-05,-9.750000000e-06,1.312029525e+03,1.168831131e+07
pi+0.00,1.979166667e-05,-9.750000000e-06,1.309822660e+03,1.153792155e+07
pi+0.00,2.000000000e-05,-9.750000000e-06,1.307615796e+03,1.138777982e+07
pi+0.00,2.020833333e-05,-9.750000000e-06,1.305446128e+03,1.124145054e+07
pi+0.00,2.041666667e-05,-9.750000000e-06,1.303358408e+03,1.110317781e+07
pi+0.00,2.062500000e-05,-9.750000000e-06,1.301270689e+03,1.096511707e+07
pi+0.00,2.083333333e-05,-9.750000000e-06,1.299182969e+03,1.082727642e+07
pi+0.00,2.104166667e-05,-9.750000000e-06,1.297168454e+03,1.069135039e+07
pi+0.00,2.125000000e-05,-9.750000000e-06,1.295177630e+03,1.055618120e+07
pi+0.00,2.145833333e-05,-9.750000000e-06,1.293186806e+03,1.042122772e+07
pi+0.00,2.166666667e-05,-9.750000000e-06,1.291247633e+03,1.029208654e+07
pi+0.00,2.187500000e-05,-9.750000000e-06,1.289341411e+03,1.016670332e+07
pi+0.00,2.208333333e-05,-9.750000000e-06,1.287435189e+03,1.004151078e+07
pi+0.00,2.229166667e-05,-9.750000000e-06,1.285567366e+03,9.923168099e+06
pi+0.00,2.250000000e-05,-9.750000000e-06,1.283745181e+03,9.812893330e+06
pi+0.00,2.270833333e-05,-9.750000000e-06,1.281922997e+03,9.702769774e+06
pi+0.00,2.291666667e-05,-9.750000000e-06,1.280100812e+03,9.592802637e+06
pi+0.00,2.312500000e-05,-9.750000000e-06,1.278356738e+03,9.490009530e+06
pi+0.00,2.333333333e-05,-9.750000000e-06,1.276622652e+03,9.388246455e+06
pi+0.00,2.354166667e-05,-9.750000000e-06,1.274888566e+03,9.286619072e+06
pi+0.00,2.375000000e-05,-9.750000000e-06,1.273154480e+03,9.185131885e+06
pi+0.00,2.395833333e-05,-9.750000000e-06,1.271497560e+03,9.090492876e+06
pi+0.00,2.416666667e-05,-9.750000000e-06,1.269855109e+03,8.997228498e+06
pi+0.00,2.437500000e-05,-9.750000000e-06,1.268212658e+03,8.904082866e+06
pi+0.00,2.458333333e-05,-9.750000000e-06,1.266570207e+03,8.811059746e+06
pi+0.00,2.479166667e-05,-9.750000000e-06,1.264952483e+03,8.720245519e+06
pi+0.00,2.500000000e-05,-9.750000000e-06,1.263404522e+03,8.635416908e+06
pi+0.00,0.000000000e+00,-9.500000000e-06,,
pi+0.00,2.083333333e-07,-9.500000000e-06,,
pi+0.00,4.166666667e-07,-9.500000000e-06,,
pi+0.00,6.250000000e-07,-9.500000000e-06,,
pi+0.00,8.333333333e-07,-9.500000000e-06,,
pi+0.00,1.041666667e-06,-9.500000000e-06,,
pi+0.00,1.250000000e-06,-9.500000000e-06,,
pi+0.00,1.458333333e-06,-9.500000000e-06,,
pi+0.00,1.666666667e-06,-9.500000000e-06,,
pi+0.00,1.875000000e-06,-9.500000000e-06,,
pi+0.00,2.083333333e-06,-9.500000000e-06,,
pi+0.00,2.291666667e-06,-9.500000000e-06,,
pi+0.00,2.500000000e-06,-9.500000000e-06,,
pi+0.00,2.708333333e-06,-9.500000000e-06,,
pi+0.00,2.916666667e-06,-9.500000000e-06,,
pi+0.00,3.125000000e-06,-9.500000000e-06,,
pi+0.00,3.333333333e-06,-9.500000000e-06,,
pi+0.00,3.541666667e-06,-9.500000000e-06,,
pi+0.00,3.750000000e-06,-9.500000000e-06,,
pi+0.00,3.958333333e-06,-9.500000000e-06,,
pi+0.00,4.166666667e-06,-9.500000000e-06,,
pi+0.00,4.375000000e-06,-9.500000000e-06,,
