# boundary mesh nodes in the meridian half-plane (r, z), SI
index,r_m,z_m,on_axis,is_corner,feature
273,6.55675072549399092e-04,6.00000000000000056e-04,0,0,
274,5.68906702681321432e-04,6.00000000000000056e-04,0,0,
275,4.87006400057612802e-04,6.00000000000000056e-04,0,0,
276,4.22078622740423241e-04,6.00000000000000056e-04,0,0,
277,3.71226064580275914e-04,6.00000000000000056e-04,0,0,
278,3.31397496895355359e-04,6.00000000000000056e-04,0,0,
279,3.00203107409826664e-04,6.00000000000000056e-04,0,0,
280,2.75770956033993776e-04,6.00000000000000056e-04,0,0,
281,2.56635397953891044e-04,6.00000000000000056e-04,0,0,
282,2.41648443393372488e-04,6.00000000000000056e-04,0,0,
283,2.29910288214837900e-04,6.00000000000000056e-04,0,0,
284,2.20716343476967062e-04,6.00000000000000056e-04,0,0,
285,2.13516445617573190e-04,6.00000000000000056e-04,0,0,
286,2.07876727161324278e-04,6.00000000000000056e-04,0,0,
287,2.03459902983207973e-04,6.00000000000000056e-04,0,0,
288,2.00000000000000004e-03,5.12996118097602924e-04,0,0,
289,2.00000000000000004e-03,5.29370098482246374e-04,0,0,
290,2.00000000000000004e-03,5.50000000000000033e-04,0,0,
291,2.00000000000000004e-03,5.70629901517753692e-04,0,0,
292,2.00000000000000004e-03,5.87003881902397142e-04,0,0,
293,5.66414292913126373e-06,-3.99999999999999965e-04,0,0,
294,6.50467516566580873e-06,-3.99999999999999965e-04,0,0,
295,7.56849847447470925e-06,-3.99999999999999965e-04,0,0,
296,8.91493327146239790e-06,-3.99999999999999965e-04,0,0,
297,1.06190475377750397e-05,-3.99999999999999965e-04,0,0,
298,1.27758723523952108e-05,-3.99999999999999965e-04,0,0,
299,1.54859712631168203e-05,-3.99999999999999965e-04,0,0,
300,1.80076248825436169e-05,-3.99999999999999965e-04,0,0,
301,2.20822757714538053e-05,-3.99999999999999965e-04,0,0,
302,2.47424607207188909e-05,-3.99999999999999965e-04,0,0,
303,2.81410728968555411e-05,-3.99999999999999965e-04,0,0,
304,3.24833046701412348e-05,-3.99999999999999965e-04,0,0,
305,3.80310332161805408e-05,-3.99999999999999965e-04,0,0,
306,4.51193558034357724e-05,-3.99999999999999965e-04,0,0,
307,5.41755836786949309e-05,-3.99999999999999965e-04,0,0,
308,6.57461891781530321e-05,-3.99999999999999965e-04,0,0,
309,8.05292643877547729e-05,-3.99999999999999965e-04,0,0,
310,9.94166466994816835e-05,-3.99999999999999965e-04,0,0,
311,1.23547929525323196e-04,-3.99999999999999965e-04,0,0,
312,1.54378978431318081e-04,-3.99999999999999965e-04,0,0,
313,1.93769870323349868e-04,-3.99999999999999965e-04,0,0,
314,2.44097144635917884e-04,-3.99999999999999965e-04,0,0,
315,3.08397193527602115e-04,-3.99999999999999965e-04,0,0,
316,3.89838559645013373e-04,-3.99999999999999965e-04,0,0,
317,4.76843940990179563e-04,-3.99999999999999965e-04,0,0,
318,5.63849322335345645e-04,-3.99999999999999965e-04,0,0,
319,6.50854703680512053e-04,-3.99999999999999965e-04,0,0,
320,7.37860085025678243e-04,-3.99999999999999965e-04,0,0,
321,8.24865466370844650e-04,-3.99999999999999965e-04,0,0,
322,9.11870847716010841e-04,-3.99999999999999965e-04,0,0,
323,9.98876229061176598e-04,-3.99999999999999965e-04,0,0,
324,1.08588161040634322e-03,-3.99999999999999965e-04,0,0,
325,1.17288699175150963e-03,-3.99999999999999965e-04,0,0,
326,1.25989237309667560e-03,-3.99999999999999965e-04,0,0,
327,1.34689775444184201e-03,-3.99999999999999965e-04,0,0,
328,1.43390313578700820e-03,-3.99999999999999965e-04,0,0,
329,1.52090851713217439e-03,-3.99999999999999965e-04,0,0,
330,1.60791389847734058e-03,-3.99999999999999965e-04,0,0,
331,1.69491927982250656e-03,-3.99999999999999965e-04,0,0,
332,1.78192466116767296e-03,-3.99999999999999965e-04,0,0,
333,1.86893004251283959e-03,-3.99999999999999965e-04,0,0,
334,1.95593542385800491e-03,-3.99999999999999965e-04,0,0,
335,2.04294080520317197e-03,-3.99999999999999965e-04,0,0,
336,2.12994618654833772e-03,-3.99999999999999965e-04,0,0,
337,2.21695156789350391e-03,-3.99999999999999965e-04,0,0,
338,2.30395694923867054e-03,-3.99999999999999965e-04,0,0,
339,2.39096233058383630e-03,-3.99999999999999965e-04,0,0,
340,2.47796771192900292e-03,-3.99999999999999965e-04,0,0,
341,2.56497309327416911e-03,-3.99999999999999965e-04,0,0,
342,2.65197847461933530e-03,-3.99999999999999965e-04,0,0,
343,2.73898385596450149e-03,-3.99999999999999965e-04,0,0,
344,2.82598923730966768e-03,-3.99999999999999965e-04,0,0,
345,2.91299461865483387e-03,-3.99999999999999965e-04,0,0,
346,3.00000000000000006e-03,-3.99999999999999965e-04,0,1,
347,3.00000000000000006e-03,-3.13636363636363592e-04,0,0,
348,3.00000000000000006e-03,-2.27272727272727029e-04,0,0,
349,3.00000000000000006e-03,-1.40909090909090953e-04,0,0,
350,3.00000000000000006e-03,-5.45454545454547969e-05,0,0,
351,3.00000000000000006e-03,3.18181818181813595e-05,0,0,
352,3.00000000000000006e-03,1.18181818181817299e-04,0,0,
353,3.00000000000000006e-03,2.04545454545453564e-04,0,0,
354,3.00000000000000006e-03,2.90909090909089612e-04,0,0,
355,3.00000000000000006e-03,3.77272727272727178e-04,0,0,
