# Bahnen im r-z-Schnitt.  Jede Zeile ist ein Bahnpunkt; die Bahnen sind
# durch Neustarten der Integration mit wachsender Schrittzahl abgetastet,
# damit die Datei nicht die ganze Historie tragen muss.
case,particle,step,r_m,z_m
kation_ohne_raumladung,12,10396,3.048780488e-06,1.886014660e-05
kation_ohne_raumladung,12,10796,3.048780488e-06,2.033156310e-05
kation_ohne_raumladung,12,11196,3.048780488e-06,2.185852572e-05
kation_ohne_raumladung,12,11596,3.048780488e-06,2.344103444e-05
kation_ohne_raumladung,12,11996,3.048780488e-06,2.507908928e-05
kation_ohne_raumladung,12,12395,3.048780488e-06,2.676838697e-05
kation_ohne_raumladung,12,12795,3.048780488e-06,2.851739517e-05
kation_ohne_raumladung,12,13195,3.048780488e-06,3.032194948e-05
kation_ohne_raumladung,12,13595,3.048780488e-06,3.218204990e-05
kation_ohne_raumladung,12,13995,3.048780488e-06,3.409769643e-05
kation_ohne_raumladung,12,14395,3.048780488e-06,3.606888908e-05
kation_ohne_raumladung,12,14794,3.048780488e-06,3.809049173e-05
kation_ohne_raumladung,12,15194,3.048780488e-06,4.017263773e-05
kation_ohne_raumladung,12,15594,3.048780488e-06,4.231032985e-05
kation_ohne_raumladung,12,15994,3.048780488e-06,4.450356807e-05
kation_ohne_raumladung,12,16394,3.048780488e-06,4.675235241e-05
kation_ohne_raumladung,12,16794,3.048780488e-06,4.905668286e-05
kation_ohne_raumladung,12,17193,3.048780488e-06,5.141059047e-05
kation_ohne_raumladung,12,17593,3.048780488e-06,5.382587428e-05
kation_ohne_raumladung,12,17993,3.048780488e-06,5.629670420e-05
kation_ohne_raumladung,12,18393,3.048780488e-06,5.882308024e-05
kation_ohne_raumladung,12,18793,3.048780488e-06,6.140500238e-05
kation_ohne_raumladung,12,19193,3.048780488e-06,6.404247064e-05
kation_ohne_raumladung,12,19592,3.048780488e-06,6.672868321e-05
kation_ohne_raumladung,12,19992,3.048780488e-06,6.947710483e-05
kation_ohne_raumladung,12,20392,3.048780488e-06,7.228107255e-05
kation_ohne_raumladung,12,20792,3.048780488e-06,7.514058639e-05
kation_ohne_raumladung,12,21192,3.048780488e-06,7.805564634e-05
kation_ohne_raumladung,12,21592,3.048780488e-06,8.102625241e-05
kation_ohne_raumladung,12,21991,3.048780488e-06,8.404476994e-05
kation_ohne_raumladung,12,22391,3.048780488e-06,8.712632936e-05
kation_ohne_raumladung,12,22791,3.048780488e-06,9.026343489e-05
kation_ohne_raumladung,12,23191,3.048780488e-06,9.345608654e-05
kation_ohne_raumladung,12,23591,3.048780488e-06,9.670428430e-05
kation_ohne_raumladung,12,23991,3.048780488e-06,1.000000000e-04
kation_ohne_raumladung,16,1,4.024390244e-06,1.000001736e-07
kation_ohne_raumladung,16,400,4.024390244e-06,1.277730559e-07
kation_ohne_raumladung,16,800,4.024390244e-06,2.110922237e-07
kation_ohne_raumladung,16,1200,4.024390244e-06,3.499575034e-07
kation_ohne_raumladung,16,1600,4.024390244e-06,5.443688949e-07
kation_ohne_raumladung,16,2000,4.024390244e-06,7.943263983e-07
kation_ohne_raumladung,16,2400,4.024390244e-06,1.099830014e-06
kation_ohne_raumladung,16,2799,4.024390244e-06,1.459907857e-06
kation_ohne_raumladung,16,3199,4.024390244e-06,1.876364831e-06
kation_ohne_raumladung,16,3599,4.024390244e-06,2.348367917e-06
kation_ohne_raumladung,16,3999,4.024390244e-06,2.875917114e-06
kation_ohne_raumladung,16,4399,4.024390244e-06,3.459012423e-06
kation_ohne_raumladung,16,4799,4.024390244e-06,4.097653844e-06
kation_ohne_raumladung,16,5198,4.024390244e-06,4.790036650e-06
kation_ohne_raumladung,16,5598,4.024390244e-06,5.539631429e-06
kation_ohne_raumladung,16,5998,4.024390244e-06,6.344772321e-06
kation_ohne_raumladung,16,6398,4.024390244e-06,7.205459324e-06
kation_ohne_raumladung,16,6798,4.024390244e-06,8.121692439e-06
kation_ohne_raumladung,16,7198,4.024390244e-06,9.093471666e-06
kation_ohne_raumladung,16,7597,4.024390244e-06,1.011815943e-05
kation_ohne_raumladung,16,7997,4.024390244e-06,1.120089202e-05
kation_ohne_raumladung,16,8397,4.024390244e-06,1.233917072e-05
kation_ohne_raumladung,16,8797,4.024390244e-06,1.353299552e-05
kation_ohne_raumladung,16,9197,4.024390244e-06,1.478236645e-05
kation_ohne_raumladung,16,9597,4.024390244e-06,1.608728348e-05
kation_ohne_raumladung,16,9996,4.024390244e-06,1.744427621e-05
kation_ohne_raumladung,16,10396,4.024390244e-06,1.886014660e-05
kation_ohne_raumladung,16,10796,4.024390244e-06,2.033156310e-05
kation_ohne_raumladung,16,11196,4.024390244e-06,2.185852572e-05
kation_ohne_raumladung,16,11596,4.024390244e-06,2.344103444e-05
kation_ohne_raumladung,16,11996,4.024390244e-06,2.507908928e-05
kation_ohne_raumladung,16,12395,4.024390244e-06,2.676838697e-05
kation_ohne_raumladung,16,12795,4.024390244e-06,2.851739517e-05
kation_ohne_raumladung,16,13195,4.024390244e-06,3.032194948e-05
kation_ohne_raumladung,16,13595,4.024390244e-06,3.218204990e-05
kation_ohne_raumladung,16,13995,4.024390244e-06,3.409769643e-05
kation_ohne_raumladung,16,14395,4.024390244e-06,3.606888908e-05
kation_ohne_raumladung,16,14794,4.024390244e-06,3.809049173e-05
kation_ohne_raumladung,16,15194,4.024390244e-06,4.017263773e-05
kation_ohne_raumladung,16,15594,4.024390244e-06,4.231032985e-05
kation_ohne_raumladung,16,15994,4.024390244e-06,4.450356807e-05
kation_ohne_raumladung,16,16394,4.024390244e-06,4.675235241e-05
kation_ohne_raumladung,16,16794,4.024390244e-06,4.905668286e-05
kation_ohne_raumladung,16,17193,4.024390244e-06,5.141059047e-05
kation_ohne_raumladung,16,17593,4.024390244e-06,5.382587428e-05
kation_ohne_raumladung,16,17993,4.024390244e-06,5.629670420e-05
kation_ohne_raumladung,16,18393,4.024390244e-06,5.882308024e-05
kation_ohne_raumladung,16,18793,4.024390244e-06,6.140500238e-05
kation_ohne_raumladung,16,19193,4.024390244e-06,6.404247064e-05
kation_ohne_raumladung,16,19592,4.024390244e-06,6.672868321e-05
kation_ohne_raumladung,16,19992,4.024390244e-06,6.947710483e-05
kation_ohne_raumladung,16,20392,4.024390244e-06,7.228107255e-05
kation_ohne_raumladung,16,20792,4.024390244e-06,7.514058639e-05
kation_ohne_raumladung,16,21192,4.024390244e-06,7.805564634e-05
kation_ohne_raumladung,16,21592,4.024390244e-06,8.102625241e-05
kation_ohne_raumladung,16,21991,4.024390244e-06,8.404476994e-05
kation_ohne_raumladung,16,22391,4.024390244e-06,8.712632936e-05
kation_ohne_raumladung,16,22791,4.024390244e-06,9.026343489e-05
kation_ohne_raumladung,16,23191,4.024390244e-06,9.345608654e-05
kation_ohne_raumladung,16,23591,4.024390244e-06,9.670428430e-05
kation_ohne_raumladung,16,23991,4.024390244e-06,1.000000000e-04
kation_ohne_raumladung,20,1,5.000000000e-06,1.000001736e-07
kation_ohne_raumladung,20,400,5.000000000e-06,1.277730559e-07
kation_ohne_raumladung,20,800,5.000000000e-06,2.110922237e-07
kation_ohne_raumladung,20,1200,5.000000000e-06,3.499575034e-07
kation_ohne_raumladung,20,1600,5.000000000e-06,5.443688949e-07
kation_ohne_raumladung,20,2000,5.000000000e-06,7.943263983e-07
kation_ohne_raumladung,20,2400,5.000000000e-06,1.099830014e-06
kation_ohne_raumladung,20,2799,5.000000000e-06,1.459907857e-06
kation_ohne_raumladung,20,3199,5.000000000e-06,1.876364831e-06
kation_ohne_raumladung,20,3599,5.000000000e-06,2.348367917e-06
kation_ohne_raumladung,20,3999,5.000000000e-06,2.875917114e-06
kation_ohne_raumladung,20,4399,5.000000000e-06,3.459012423e-06
kation_ohne_raumladung,20,4799,5.000000000e-06,4.097653844e-06
kation_ohne_raumladung,20,5198,5.000000000e-06,4.790036650e-06
kation_ohne_raumladung,20,5598,5.000000000e-06,5.539631429e-06
kation_ohne_raumladung,20,5998,5.000000000e-06,6.344772321e-06
kation_ohne_raumladung,20,6398,5.000000000e-06,7.205459324e-06
kation_ohne_raumladung,20,6798,5.000000000e-06,8.121692439e-06
kation_ohne_raumladung,20,7198,5.000000000e-06,9.093471666e-06
kation_ohne_raumladung,20,7597,5.000000000e-06,1.011815943e-05
kation_ohne_raumladung,20,7997,5.000000000e-06,1.120089202e-05
kation_ohne_raumladung,20,8397,5.000000000e-06,1.233917072e-05
kation_ohne_raumladung,20,8797,5.000000000e-06,1.353299552e-05
kation_ohne_raumladung,20,9197,5.000000000e-06,1.478236645e-05
kation_ohne_raumladung,20,9597,5.000000000e-06,1.608728348e-05
kation_ohne_raumladung,20,9996,5.000000000e-06,1.744427621e-05
kation_ohne_raumladung,20,10396,5.000000000e-06,1.886014660e-05
kation_ohne_raumladung,20,10796,5.000000000e-06,2.033156310e-05
kation_ohne_raumladung,20,11196,5.000000000e-06,2.185852572e-05
kation_ohne_raumladung,20,11596,5.000000000e-06,2.344103444e-05
kation_ohne_raumladung,20,11996,5.000000000e-06,2.507908928e-05
kation_ohne_raumladung,20,12395,5.000000000e-06,2.676838697e-05
kation_ohne_raumladung,20,12795,5.000000000e-06,2.851739517e-05
kation_ohne_raumladung,20,13195,5.000000000e-06,3.032194948e-05
kation_ohne_raumladung,20,13595,5.000000000e-06,3.218204990e-05
kation_ohne_raumladung,20,13995,5.000000000e-06,3.409769643e-05
kation_ohne_raumladung,20,14395,5.000000000e-06,3.606888908e-05
kation_ohne_raumladung,20,14794,5.000000000e-06,3.809049173e-05
kation_ohne_raumladung,20,15194,5.000000000e-06,4.017263773e-05
kation_ohne_raumladung,20,15594,5.000000000e-06,4.231032985e-05
kation_ohne_raumladung,20,15994,5.000000000e-06,4.450356807e-05
kation_ohne_raumladung,20,16394,5.000000000e-06,4.675235241e-05
kation_ohne_raumladung,20,16794,5.000000000e-06,4.905668286e-05
kation_ohne_raumladung,20,17193,5.000000000e-06,5.141059047e-05
kation_ohne_raumladung,20,17593,5.000000000e-06,5.382587428e-05
kation_ohne_raumladung,20,17993,5.000000000e-06,5.629670420e-05
kation_ohne_raumladung,20,18393,5.000000000e-06,5.882308024e-05
kation_ohne_raumladung,20,18793,5.000000000e-06,6.140500238e-05
