# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.2500,70,5.556876616e-06,1.105331483e-06,5.556876616e-06,1.105331483e-06
dilatation,0.2500,71,5.577507214e-06,9.960164133e-07,5.577507214e-06,9.960164133e-07
dilatation,0.2500,72,5.595987576e-06,8.863173603e-07,5.595987576e-06,8.863173603e-07
dilatation,0.2500,73,5.612310579e-06,7.762766151e-07,5.612310579e-06,7.762766151e-07
dilatation,0.2500,74,5.626469929e-06,6.659366005e-07,5.626469929e-06,6.659366005e-07
dilatation,0.2500,75,5.638460168e-06,5.553398547e-07,5.638460168e-06,5.553398547e-07
dilatation,0.2500,76,5.648276673e-06,4.445290148e-07,5.648276673e-06,4.445290148e-07
dilatation,0.2500,77,5.655915660e-06,3.335468004e-07,5.655915660e-06,3.335468004e-07
dilatation,0.2500,78,5.661374183e-06,2.224359975e-07,5.661374183e-06,2.224359975e-07
dilatation,0.2500,79,5.664650140e-06,1.112394412e-07,5.664650140e-06,1.112394412e-07
dilatation,0.2500,80,5.665742265e-06,0.000000000e+00,5.665742265e-06,0.000000000e+00
dilatation,0.5000,0,0.000000000e+00,6.420127083e-06,0.000000000e+00,6.420127083e-06
dilatation,0.5000,1,1.260508007e-07,6.418889543e-06,1.260508007e-07,6.418889543e-06
dilatation,0.5000,2,2.520530064e-07,6.415177398e-06,2.520530064e-07,6.415177398e-06
dilatation,0.5000,3,3.779580409e-07,6.408992080e-06,3.779580409e-07,6.408992080e-06
dilatation,0.5000,4,5.037173654e-07,6.400335974e-06,5.037173654e-07,6.400335974e-06
dilatation,0.5000,5,6.292824973e-07,6.389212417e-06,6.292824973e-07,6.389212417e-06
dilatation,0.5000,6,7.546050287e-07,6.375625696e-06,7.546050287e-07,6.375625696e-06
dilatation,0.5000,7,8.796366456e-07,6.359581051e-06,8.796366456e-07,6.359581051e-06
dilatation,0.5000,8,1.004329146e-06,6.341084665e-06,1.004329146e-06,6.341084665e-06
dilatation,0.5000,9,1.128634458e-06,6.320143671e-06,1.128634458e-06,6.320143671e-06
dilatation,0.5000,10,1.252504660e-06,6.296766142e-06,1.252504660e-06,6.296766142e-06
dilatation,0.5000,11,1.375891998e-06,6.270961089e-06,1.375891998e-06,6.270961089e-06
dilatation,0.5000,12,1.498748903e-06,6.242738461e-06,1.498748903e-06,6.242738461e-06
dilatation,0.5000,13,1.621028012e-06,6.212109139e-06,1.621028012e-06,6.212109139e-06
dilatation,0.5000,14,1.742682184e-06,6.179084930e-06,1.742682184e-06,6.179084930e-06
dilatation,0.5000,15,1.863664518e-06,6.143678567e-06,1.863664518e-06,6.143678567e-06
dilatation,0.5000,16,1.983928375e-06,6.105903698e-06,1.983928375e-06,6.105903698e-06
dilatation,0.5000,17,2.103427389e-06,6.065774888e-06,2.103427389e-06,6.065774888e-06
dilatation,0.5000,18,2.222115492e-06,6.023307605e-06,2.222115492e-06,6.023307605e-06
dilatation,0.5000,19,2.339946927e-06,5.978518223e-06,2.339946927e-06,5.978518223e-06
dilatation,0.5000,20,2.456876269e-06,5.931424009e-06,2.456876269e-06,5.931424009e-06
dilatation,0.5000,21,2.572858437e-06,5.882043117e-06,2.572858437e-06,5.882043117e-06
dilatation,0.5000,22,2.687848720e-06,5.830394586e-06,2.687848720e-06,5.830394586e-06
dilatation,0.5000,23,2.801802786e-06,5.776498327e-06,2.801802786e-06,5.776498327e-06
dilatation,0.5000,24,2.914676703e-06,5.720375117e-06,2.914676703e-06,5.720375117e-06
dilatation,0.5000,25,3.026426957e-06,5.662046595e-06,3.026426957e-06,5.662046595e-06
dilatation,0.5000,26,3.137010466e-06,5.601535245e-06,3.137010466e-06,5.601535245e-06
dilatation,0.5000,27,3.246384598e-06,5.538864397e-06,3.246384598e-06,5.538864397e-06
dilatation,0.5000,28,3.354507186e-06,5.474058212e-06,3.354507186e-06,5.474058212e-06
dilatation,0.5000,29,3.461336549e-06,5.407141672e-06,3.461336549e-06,5.407141672e-06
dilatation,0.5000,30,3.566831500e-06,5.338140577e-06,3.566831500e-06,5.338140577e-06
dilatation,0.5000,31,3.670951369e-06,5.267081527e-06,3.670951369e-06,5.267081527e-06
dilatation,0.5000,32,3.773656017e-06,5.193991917e-06,3.773656017e-06,5.193991917e-06
dilatation,0.5000,33,3.874905849e-06,5.118899923e-06,3.874905849e-06,5.118899923e-06
dilatation,0.5000,34,3.974661831e-06,5.041834497e-06,3.974661831e-06,5.041834497e-06
dilatation,0.5000,35,4.072885505e-06,4.962825347e-06,4.072885505e-06,4.962825347e-06
dilatation,0.5000,36,4.169539004e-06,4.881902934e-06,4.169539004e-06,4.881902934e-06
dilatation,0.5000,37,4.264585067e-06,4.799098454e-06,4.264585067e-06,4.799098454e-06
dilatation,0.5000,38,4.357987051e-06,4.714443831e-06,4.357987051e-06,4.714443831e-06
dilatation,0.5000,39,4.449708947e-06,4.627971699e-06,4.449708947e-06,4.627971699e-06
dilatation,0.5000,40,4.539715397e-06,4.539715397e-06,4.539715397e-06,4.539715397e-06
dilatation,0.5000,41,4.627971699e-06,4.449708947e-06,4.627971699e-06,4.449708947e-06
dilatation,0.5000,42,4.714443831e-06,4.357987051e-06,4.714443831e-06,4.357987051e-06
dilatation,0.5000,43,4.799098454e-06,4.264585067e-06,4.799098454e-06,4.264585067e-06
dilatation,0.5000,44,4.881902934e-06,4.169539004e-06,4.881902934e-06,4.169539004e-06
dilatation,0.5000,45,4.962825347e-06,4.072885505e-06,4.962825347e-06,4.072885505e-06
dilatation,0.5000,46,5.041834497e-06,3.974661831e-06,5.041834497e-06,3.974661831e-06
dilatation,0.5000,47,5.118899923e-06,3.874905849e-06,5.118899923e-06,3.874905849e-06
dilatation,0.5000,48,5.193991917e-06,3.773656017e-06,5.193991917e-06,3.773656017e-06
dilatation,0.5000,49,5.267081527e-06,3.670951369e-06,5.267081527e-06,3.670951369e-06
dilatation,0.5000,50,5.338140577e-06,3.566831500e-06,5.338140577e-06,3.566831500e-06
dilatation,0.5000,51,5.407141672e-06,3.461336549e-06,5.407141672e-06,3.461336549e-06
dilatation,0.5000,52,5.474058212e-06,3.354507186e-06,5.474058212e-06,3.354507186e-06
dilatation,0.5000,53,5.538864397e-06,3.246384598e-06,5.538864397e-06,3.246384598e-06
dilatation,0.5000,54,5.601535245e-06,3.137010466e-06,5.601535245e-06,3.137010466e-06
dilatation,0.5000,55,5.662046595e-06,3.026426957e-06,5.662046595e-06,3.026426957e-06
dilatation,0.5000,56,5.720375117e-06,2.914676703e-06,5.720375117e-06,2.914676703e-06
dilatation,0.5000,57,5.776498327e-06,2.801802786e-06,5.776498327e-06,2.801802786e-06
dilatation,0.5000,58,5.830394586e-06,2.687848720e-06,5.830394586e-06,2.687848720e-06
dilatation,0.5000,59,5.882043117e-06,2.572858437e-06,5.882043117e-06,2.572858437e-06
dilatation,0.5000,60,5.931424009e-06,2.456876269e-06,5.931424009e-06,2.456876269e-06
