# potential and axial field on r = 0, from the flat liquid surface to the
# top of the plotted region.  Inside the liquid column V = V_emitter.
z_m,V_V,Ez_V_per_m
6.196666667e-04,9.044945293e+00,8.959963988e+04
6.217777778e-04,8.857982978e+00,8.752936439e+04
6.238888889e-04,8.675348230e+00,8.549978176e+04
6.260000000e-04,8.496955513e+00,8.351053652e+04
6.281111111e-04,8.322720065e+00,8.156125348e+04
6.302222222e-04,8.152557932e+00,7.965153886e+04
6.323333333e-04,7.986386012e+00,7.778098142e+04
6.344444444e-04,7.824122089e+00,7.594915359e+04
6.365555556e-04,7.665684865e+00,7.415561249e+04
6.386666667e-04,7.510993993e+00,7.239990109e+04
6.407777778e-04,7.359970103e+00,7.068154925e+04
6.428888889e-04,7.212534834e+00,6.900007474e+04
6.450000000e-04,7.068610851e+00,6.735498428e+04
