# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
3.9832636e-04,-2.3000000e-04,1.3542254e+03,5.5510809e+05,reservoir_solid
4.0167364e-04,-2.3000000e-04,1.3540696e+03,5.5541388e+05,reservoir_solid
4.0502092e-04,-2.3000000e-04,1.3539288e+03,5.5568630e+05,reservoir_solid
4.0836820e-04,-2.3000000e-04,1.3537900e+03,5.5595512e+05,reservoir_solid
4.1171548e-04,-2.3000000e-04,1.3536513e+03,5.5622513e+05,reservoir_solid
4.1506276e-04,-2.3000000e-04,1.3535125e+03,5.5649635e+05,reservoir_solid
4.1841004e-04,-2.3000000e-04,1.3533737e+03,5.5676876e+05,reservoir_solid
4.2175732e-04,-2.3000000e-04,1.3532350e+03,5.5704237e+05,reservoir_solid
4.2510460e-04,-2.3000000e-04,1.3531063e+03,5.5729402e+05,reservoir_solid
4.2845188e-04,-2.3000000e-04,1.3529839e+03,5.5753239e+05,reservoir_solid
4.3179916e-04,-2.3000000e-04,1.3528615e+03,5.5777166e+05,reservoir_solid
4.3514644e-04,-2.3000000e-04,1.3527390e+03,5.5801184e+05,reservoir_solid
4.3849372e-04,-2.3000000e-04,1.3526166e+03,5.5825293e+05,reservoir_solid
4.4184100e-04,-2.3000000e-04,1.3524941e+03,5.5849492e+05,reservoir_solid
4.4518828e-04,-2.3000000e-04,1.3523717e+03,5.5873782e+05,reservoir_solid
4.4853556e-04,-2.3000000e-04,1.3522614e+03,5.5895422e+05,reservoir_solid
4.5188285e-04,-2.3000000e-04,1.3521545e+03,5.5916377e+05,reservoir_solid
4.5523013e-04,-2.3000000e-04,1.3520475e+03,5.5937400e+05,reservoir_solid
4.5857741e-04,-2.3000000e-04,1.3519406e+03,5.5958490e+05,reservoir_solid
4.6192469e-04,-2.3000000e-04,1.3518337e+03,5.5979647e+05,reservoir_solid
4.6527197e-04,-2.3000000e-04,1.3517267e+03,5.6000872e+05,reservoir_solid
4.6861925e-04,-2.3000000e-04,1.3516198e+03,5.6022163e+05,reservoir_solid
4.7196653e-04,-2.3000000e-04,1.3515175e+03,5.6042493e+05,reservoir_solid
4.7531381e-04,-2.3000000e-04,1.3514252e+03,5.6060657e+05,reservoir_solid
4.7866109e-04,-2.3000000e-04,1.3513328e+03,5.6078870e+05,reservoir_solid
4.8200837e-04,-2.3000000e-04,1.3512405e+03,5.6097132e+05,reservoir_solid
4.8535565e-04,-2.3000000e-04,1.3511482e+03,5.6115443e+05,reservoir_solid
4.8870293e-04,-2.3000000e-04,1.3510559e+03,5.6133803e+05,reservoir_solid
4.9205021e-04,-2.3000000e-04,1.3509635e+03,5.6152212e+05,reservoir_solid
4.9539749e-04,-2.3000000e-04,1.3508712e+03,5.6170670e+05,reservoir_solid
4.9874477e-04,-2.3000000e-04,1.3507810e+03,5.6188719e+05,reservoir_solid
5.0209205e-04,-2.3000000e-04,1.3507023e+03,5.6204307e+05,reservoir_solid
5.0543933e-04,-2.3000000e-04,1.3506236e+03,5.6219930e+05,reservoir_solid
5.0878661e-04,-2.3000000e-04,1.3505449e+03,5.6235589e+05,reservoir_solid
5.1213389e-04,-2.3000000e-04,1.3504662e+03,5.6251283e+05,reservoir_solid
