# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
5.4225941e-04,-2.3000000e-04,1.3500344e+03,5.6325078e+05,reservoir_solid
5.4560669e-04,-2.3000000e-04,1.3499702e+03,5.6337922e+05,reservoir_solid
5.4895397e-04,-2.3000000e-04,1.3499059e+03,5.6350792e+05,reservoir_solid
5.5230126e-04,-2.3000000e-04,1.3498417e+03,5.6363687e+05,reservoir_solid
5.5564854e-04,-2.3000000e-04,1.3497774e+03,5.6376608e+05,reservoir_solid
5.5899582e-04,-2.3000000e-04,1.3497132e+03,5.6389555e+05,reservoir_solid
5.6234310e-04,-2.3000000e-04,1.3496551e+03,5.6401205e+05,reservoir_solid
5.6569038e-04,-2.3000000e-04,1.3496026e+03,5.6411632e+05,reservoir_solid
5.6903766e-04,-2.3000000e-04,1.3495502e+03,5.6422077e+05,reservoir_solid
5.7238494e-04,-2.3000000e-04,1.3494978e+03,5.6432540e+05,reservoir_solid
5.7573222e-04,-2.3000000e-04,1.3494454e+03,5.6443022e+05,reservoir_solid
5.7907950e-04,-2.3000000e-04,1.3493930e+03,5.6453521e+05,reservoir_solid
5.8242678e-04,-2.3000000e-04,1.3493405e+03,5.6464039e+05,reservoir_solid
5.8577406e-04,-2.3000000e-04,1.3492881e+03,5.6474575e+05,reservoir_solid
5.8912134e-04,-2.3000000e-04,1.3492357e+03,5.6485129e+05,reservoir_solid
5.9246862e-04,-2.3000000e-04,1.3491833e+03,5.6495702e+05,reservoir_solid
5.9581590e-04,-2.3000000e-04,1.3491309e+03,5.6506292e+05,reservoir_solid
5.9916318e-04,-2.3000000e-04,1.3490881e+03,5.6514815e+05,reservoir_solid
6.0251046e-04,-2.3000000e-04,1.3490465e+03,5.6523083e+05,reservoir_solid
6.0585774e-04,-2.3000000e-04,1.3490049e+03,5.6531364e+05,reservoir_solid
6.0920502e-04,-2.3000000e-04,1.3489634e+03,5.6539658e+05,reservoir_solid
6.1255230e-04,-2.3000000e-04,1.3489218e+03,5.6547965e+05,reservoir_solid
6.1589958e-04,-2.3000000e-04,1.3488802e+03,5.6556284e+05,reservoir_solid
6.1924686e-04,-2.3000000e-04,1.3488386e+03,5.6564616e+05,reservoir_solid
6.2259414e-04,-2.3000000e-04,1.3487971e+03,5.6572960e+05,reservoir_solid
6.2594142e-04,-2.3000000e-04,1.3487555e+03,5.6581317e+05,reservoir_solid
6.2928870e-04,-2.3000000e-04,1.3487139e+03,5.6589687e+05,reservoir_solid
6.3263598e-04,-2.3000000e-04,1.3486723e+03,5.6598070e+05,reservoir_solid
6.3598326e-04,-2.3000000e-04,1.3486335e+03,5.6605861e+05,reservoir_solid
6.3933054e-04,-2.3000000e-04,1.3486019e+03,5.6612095e+05,reservoir_solid
6.4267782e-04,-2.3000000e-04,1.3485702e+03,5.6618338e+05,reservoir_solid
6.4602510e-04,-2.3000000e-04,1.3485386e+03,5.6624590e+05,reservoir_solid
6.4937238e-04,-2.3000000e-04,1.3485069e+03,5.6630851e+05,reservoir_solid
6.5271967e-04,-2.3000000e-04,1.3484753e+03,5.6637121e+05,reservoir_solid
6.5606695e-04,-2.3000000e-04,1.3484436e+03,5.6643399e+05,reservoir_solid
6.5941423e-04,-2.3000000e-04,1.3484120e+03,5.6649687e+05,reservoir_solid
6.6276151e-04,-2.3000000e-04,1.3483803e+03,5.6655983e+05,reservoir_solid
6.6610879e-04,-2.3000000e-04,1.3483487e+03,5.6662288e+05,reservoir_solid
6.6945607e-04,-2.3000000e-04,1.3483170e+03,5.6668602e+05,reservoir_solid
6.7280335e-04,-2.3000000e-04,1.3482854e+03,5.6674925e+05,reservoir_solid
6.7615063e-04,-2.3000000e-04,1.3482537e+03,5.6681257e+05,reservoir_solid
6.7949791e-04,-2.3000000e-04,1.3482275e+03,5.6686391e+05,reservoir_solid
6.8284519e-04,-2.3000000e-04,1.3482049e+03,5.6690722e+05,reservoir_solid
6.8619247e-04,-2.3000000e-04,1.3481823e+03,5.6695059e+05,reservoir_solid
6.8953975e-04,-2.3000000e-04,1.3481598e+03,5.6699402e+05,reservoir_solid
6.9288703e-04,-2.3000000e-04,1.3481372e+03,5.6703751e+05,reservoir_solid
6.9623431e-04,-2.3000000e-04,1.3481146e+03,5.6708107e+05,reservoir_solid
6.9958159e-04,-2.3000000e-04,1.3480921e+03,5.6712469e+05,reservoir_solid
7.0292887e-04,-2.3000000e-04,1.3480695e+03,5.6716837e+05,reservoir_solid
7.0627615e-04,-2.3000000e-04,1.3480469e+03,5.6721211e+05,reservoir_solid
7.0962343e-04,-2.3000000e-04,1.3480244e+03,5.6725591e+05,reservoir_solid
7.1297071e-04,-2.3000000e-04,1.3480018e+03,5.6729978e+05,reservoir_solid
7.1631799e-04,-2.3000000e-04,1.3479792e+03,5.6734371e+05,reservoir_solid
7.1966527e-04,-2.3000000e-04,1.3479566e+03,5.6738770e+05,reservoir_solid
7.2301255e-04,-2.3000000e-04,1.3479341e+03,5.6743175e+05,reservoir_solid
7.2635983e-04,-2.3000000e-04,1.3479177e+03,5.6746173e+05,reservoir_solid
7.2970711e-04,-2.3000000e-04,1.3479035e+03,5.6748691e+05,reservoir_solid
7.3305439e-04,-2.3000000e-04,1.3478893e+03,5.6751214e+05,reservoir_solid
7.3640167e-04,-2.3000000e-04,1.3478751e+03,5.6753741e+05,reservoir_solid
7.3974895e-04,-2.3000000e-04,1.3478609e+03,5.6756272e+05,reservoir_solid
7.4309623e-04,-2.3000000e-04,1.3478467e+03,5.6758808e+05,reservoir_solid
7.4644351e-04,-2.3000000e-04,1.3478325e+03,5.6761349e+05,reservoir_solid
7.4979079e-04,-2.3000000e-04,1.3478183e+03,5.6763894e+05,reservoir_solid
7.5313808e-04,-2.3000000e-04,1.3478041e+03,5.6766443e+05,reservoir_solid
7.5648536e-04,-2.3000000e-04,1.3477899e+03,5.6768997e+05,reservoir_solid
7.5983264e-04,-2.3000000e-04,1.3477757e+03,5.6771555e+05,reservoir_solid
7.6317992e-04,-2.3000000e-04,1.3477615e+03,5.6774118e+05,reservoir_solid
7.6652720e-04,-2.3000000e-04,1.3477473e+03,5.6776686e+05,reservoir_solid
7.6987448e-04,-2.3000000e-04,1.3477331e+03,5.6779258e+05,reservoir_solid
7.7322176e-04,-2.3000000e-04,1.3477189e+03,5.6781834e+05,reservoir_solid
7.7656904e-04,-2.3000000e-04,1.3477095e+03,5.6783283e+05,reservoir_solid
7.7991632e-04,-2.3000000e-04,1.3477031e+03,5.6784033e+05,reservoir_solid
7.8326360e-04,-2.3000000e-04,1.3476968e+03,5.6784785e+05,reservoir_solid
7.8661088e-04,-2.3000000e-04,1.3476904e+03,5.6785541e+05,reservoir_solid
7.8995816e-04,-2.3000000e-04,1.3476840e+03,5.6786300e+05,reservoir_solid
7.9330544e-04,-2.3000000e-04,1.3476777e+03,5.6787063e+05,reservoir_solid
7.9665272e-04,-2.3000000e-04,1.3476713e+03,5.6787829e+05,reservoir_solid
8.0000000e-04,-2.3000000e-04,1.3476649e+03,5.6788598e+05,reservoir_solid
0.0000000e+00,-2.2589958e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.2589958e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.2589958e-04,1.4903638e+03,4.9129675e+06,reservoir_solid
1.0041841e-05,-2.2589958e-04,1.4769452e+03,3.2858734e+06,reservoir_solid
1.3389121e-05,-2.2589958e-04,1.4673790e+03,2.4948039e+06,reservoir_solid
1.6736402e-05,-2.2589958e-04,1.4598887e+03,2.0120405e+06,reservoir_solid
2.0083682e-05,-2.2589958e-04,1.4537135e+03,1.6985314e+06,reservoir_solid
2.3430962e-05,-2.2589958e-04,1.4484345e+03,1.4743157e+06,reservoir_solid
2.6778243e-05,-2.2589958e-04,1.4437971e+03,1.3123447e+06,reservoir_solid
3.0125523e-05,-2.2589958e-04,1.4396503e+03,1.1845408e+06,reservoir_solid
3.3472803e-05,-2.2589958e-04,1.4358912e+03,1.0833377e+06,reservoir_solid
3.6820084e-05,-2.2589958e-04,1.4324525e+03,1.0008854e+06,reservoir_solid
4.0167364e-05,-2.2589958e-04,1.4292780e+03,9.3240596e+05,reservoir_solid
4.3514644e-05,-2.2589958e-04,1.4263290e+03,8.7483776e+05,reservoir_solid
4.6861925e-05,-2.2589958e-04,1.4235778e+03,8.2608261e+05,reservoir_solid
5.0209205e-05,-2.2589958e-04,1.4209939e+03,7.8431098e+05,reservoir_solid
5.3556485e-05,-2.2589958e-04,1.4185704e+03,7.4868346e+05,reservoir_solid
5.6903766e-05,-2.2589958e-04,1.4162749e+03,7.1774903e+05,reservoir_solid
6.0251046e-05,-2.2589958e-04,1.4141007e+03,6.9098866e+05,reservoir_solid
6.3598326e-05,-2.2589958e-04,1.4120399e+03,6.6783382e+05,reservoir_solid
