# Die drei Lasten nebeneinander, ueber der normierten Bogenlaenge tau.
# kind = node   : der ROHE punktweise Knotenwert (nicht konvergent an der Kante, wird nirgends verwendet)
# kind = segment: die konservative Treppenfunktion (die Kraftbuchhaltung)
# kind = handed : die stetige Rekonstruktion, die dem Kapillarloeser TATSAECHLICH uebergeben wird
# kind = cumulative: die kumulierte Kraft G(tau), aus der 'handed' gebaut ist
case,kind,tau,d_over_a,value
singulaer,handed,6.201171875e-02,9.379882812e-01,1.026652413e+04
singulaer,handed,6.250000000e-02,9.375000000e-01,1.027753040e+04
singulaer,handed,6.298828125e-02,9.370117188e-01,1.030489434e+04
singulaer,handed,6.347656250e-02,9.365234375e-01,1.032632919e+04
singulaer,handed,6.396484375e-02,9.360351563e-01,1.034329704e+04
singulaer,handed,6.445312500e-02,9.355468750e-01,1.035678361e+04
singulaer,handed,6.494140625e-02,9.350585937e-01,1.036747187e+04
singulaer,handed,6.542968750e-02,9.345703125e-01,1.037584363e+04
singulaer,handed,6.591796875e-02,9.340820312e-01,1.038224136e+04
singulaer,handed,6.640625000e-02,9.335937500e-01,1.038690701e+04
singulaer,handed,6.689453125e-02,9.331054688e-01,1.039000651e+04
singulaer,handed,6.738281250e-02,9.326171875e-01,1.039164534e+04
singulaer,handed,6.787109375e-02,9.321289062e-01,1.039187777e+04
singulaer,handed,6.835937500e-02,9.316406250e-01,1.039071141e+04
singulaer,handed,6.884765625e-02,9.311523437e-01,1.038810785e+04
singulaer,handed,6.933593750e-02,9.306640625e-01,1.038397945e+04
singulaer,handed,6.982421875e-02,9.301757812e-01,1.037818181e+04
singulaer,handed,7.031250000e-02,9.296875000e-01,1.037050052e+04
singulaer,handed,7.080078125e-02,9.291992188e-01,1.037050052e+04
singulaer,handed,7.128906250e-02,9.287109375e-01,1.037050052e+04
singulaer,handed,7.177734375e-02,9.282226562e-01,1.037050052e+04
singulaer,handed,7.226562500e-02,9.277343750e-01,1.037050052e+04
singulaer,handed,7.275390625e-02,9.272460938e-01,1.037050052e+04
singulaer,handed,7.324218750e-02,9.267578125e-01,1.037050052e+04
singulaer,handed,7.373046875e-02,9.262695312e-01,1.037050052e+04
singulaer,handed,7.421875000e-02,9.257812500e-01,1.037050052e+04
singulaer,handed,7.470703125e-02,9.252929688e-01,1.037050052e+04
singulaer,handed,7.519531250e-02,9.248046875e-01,1.037050052e+04
singulaer,handed,7.568359375e-02,9.243164062e-01,1.037050052e+04
singulaer,handed,7.617187500e-02,9.238281250e-01,1.037050052e+04
singulaer,handed,7.666015625e-02,9.233398438e-01,1.037050052e+04
singulaer,handed,7.714843750e-02,9.228515625e-01,1.037050052e+04
singulaer,handed,7.763671875e-02,9.223632812e-01,1.037050052e+04
singulaer,handed,7.812500000e-02,9.218750000e-01,1.037050052e+04
singulaer,handed,7.861328125e-02,9.213867188e-01,1.037050052e+04
singulaer,handed,7.910156250e-02,9.208984375e-01,1.037050052e+04
singulaer,handed,7.958984375e-02,9.204101562e-01,1.037050052e+04
singulaer,handed,8.007812500e-02,9.199218750e-01,1.037050052e+04
singulaer,handed,8.056640625e-02,9.194335938e-01,1.037050052e+04
singulaer,handed,8.105468750e-02,9.189453125e-01,1.037050052e+04
singulaer,handed,8.154296875e-02,9.184570312e-01,1.037050052e+04
singulaer,handed,8.203125000e-02,9.179687500e-01,1.037050052e+04
singulaer,handed,8.251953125e-02,9.174804688e-01,1.037050052e+04
singulaer,handed,8.300781250e-02,9.169921875e-01,1.037050052e+04
singulaer,handed,8.349609375e-02,9.165039062e-01,1.037050052e+04
singulaer,handed,8.398437500e-02,9.160156250e-01,1.037050052e+04
singulaer,handed,8.447265625e-02,9.155273438e-01,1.037050052e+04
singulaer,handed,8.496093750e-02,9.150390625e-01,1.037050052e+04
singulaer,handed,8.544921875e-02,9.145507812e-01,1.037050052e+04
singulaer,handed,8.593750000e-02,9.140625000e-01,1.037050052e+04
singulaer,handed,8.642578125e-02,9.135742188e-01,1.036175107e+04
singulaer,handed,8.691406250e-02,9.130859375e-01,1.035456870e+04
singulaer,handed,8.740234375e-02,9.125976562e-01,1.034911525e+04
singulaer,handed,8.789062500e-02,9.121093750e-01,1.034551868e+04
singulaer,handed,8.837890625e-02,9.116210938e-01,1.034386585e+04
singulaer,handed,8.886718750e-02,9.111328125e-01,1.034419733e+04
singulaer,handed,8.935546875e-02,9.106445313e-01,1.034650494e+04
singulaer,handed,8.984375000e-02,9.101562500e-01,1.035073228e+04
singulaer,handed,9.033203125e-02,9.096679688e-01,1.035677810e+04
singulaer,handed,9.082031250e-02,9.091796875e-01,1.036450224e+04
singulaer,handed,9.130859375e-02,9.086914062e-01,1.037373346e+04
singulaer,handed,9.179687500e-02,9.082031250e-01,1.038427838e+04
singulaer,handed,9.228515625e-02,9.077148438e-01,1.039593071e+04
singulaer,handed,9.277343750e-02,9.072265625e-01,1.040848006e+04
singulaer,handed,9.326171875e-02,9.067382813e-01,1.042171978e+04
singulaer,handed,9.375000000e-02,9.062500000e-01,1.043545329e+04
singulaer,handed,9.423828125e-02,9.057617187e-01,1.046064830e+04
singulaer,handed,9.472656250e-02,9.052734375e-01,1.048147747e+04
singulaer,handed,9.521484375e-02,9.047851562e-01,1.049869879e+04
singulaer,handed,9.570312500e-02,9.042968750e-01,1.051287699e+04
singulaer,handed,9.619140625e-02,9.038085938e-01,1.052443685e+04
singulaer,handed,9.667968750e-02,9.033203125e-01,1.053369887e+04
singulaer,handed,9.716796875e-02,9.028320312e-01,1.054090367e+04
singulaer,handed,9.765625000e-02,9.023437500e-01,1.054622874e+04
singulaer,handed,9.814453125e-02,9.018554687e-01,1.054979992e+04
singulaer,handed,9.863281250e-02,9.013671875e-01,1.055169913e+04
singulaer,handed,9.912109375e-02,9.008789062e-01,1.055196911e+04
singulaer,handed,9.960937500e-02,9.003906250e-01,1.055061589e+04
singulaer,handed,1.000976562e-01,8.999023438e-01,1.054760912e+04
singulaer,handed,1.005859375e-01,8.994140625e-01,1.054288036e+04
singulaer,handed,1.010742188e-01,8.989257812e-01,1.053631911e+04
singulaer,handed,1.015625000e-01,8.984375000e-01,1.052776616e+04
singulaer,handed,1.020507812e-01,8.979492188e-01,1.052776616e+04
singulaer,handed,1.025390625e-01,8.974609375e-01,1.052776616e+04
singulaer,handed,1.030273438e-01,8.969726562e-01,1.052776616e+04
singulaer,handed,1.035156250e-01,8.964843750e-01,1.052776616e+04
singulaer,handed,1.040039062e-01,8.959960938e-01,1.052776616e+04
singulaer,handed,1.044921875e-01,8.955078125e-01,1.052776616e+04
singulaer,handed,1.049804688e-01,8.950195312e-01,1.052776616e+04
singulaer,handed,1.054687500e-01,8.945312500e-01,1.052776616e+04
singulaer,handed,1.059570312e-01,8.940429688e-01,1.052776616e+04
singulaer,handed,1.064453125e-01,8.935546875e-01,1.052776616e+04
singulaer,handed,1.069335938e-01,8.930664062e-01,1.052776616e+04
singulaer,handed,1.074218750e-01,8.925781250e-01,1.052776616e+04
singulaer,handed,1.079101562e-01,8.920898438e-01,1.052776616e+04
singulaer,handed,1.083984375e-01,8.916015625e-01,1.052776616e+04
singulaer,handed,1.088867188e-01,8.911132812e-01,1.052776616e+04
singulaer,handed,1.093750000e-01,8.906250000e-01,1.052776616e+04
singulaer,handed,1.098632812e-01,8.901367188e-01,1.052776616e+04
singulaer,handed,1.103515625e-01,8.896484375e-01,1.052776616e+04
singulaer,handed,1.108398438e-01,8.891601562e-01,1.052776616e+04
singulaer,handed,1.113281250e-01,8.886718750e-01,1.052776616e+04
singulaer,handed,1.118164062e-01,8.881835938e-01,1.052776616e+04
singulaer,handed,1.123046875e-01,8.876953125e-01,1.052776616e+04
singulaer,handed,1.127929688e-01,8.872070312e-01,1.052776616e+04
singulaer,handed,1.132812500e-01,8.867187500e-01,1.052776616e+04
singulaer,handed,1.137695312e-01,8.862304688e-01,1.052776616e+04
singulaer,handed,1.142578125e-01,8.857421875e-01,1.052776616e+04
singulaer,handed,1.147460938e-01,8.852539062e-01,1.052776616e+04
singulaer,handed,1.152343750e-01,8.847656250e-01,1.052776616e+04
singulaer,handed,1.157226562e-01,8.842773438e-01,1.052776616e+04
singulaer,handed,1.162109375e-01,8.837890625e-01,1.052776616e+04
singulaer,handed,1.166992188e-01,8.833007812e-01,1.052776616e+04
singulaer,handed,1.171875000e-01,8.828125000e-01,1.052776616e+04
singulaer,handed,1.176757812e-01,8.823242188e-01,1.051845611e+04
singulaer,handed,1.181640625e-01,8.818359375e-01,1.051087991e+04
singulaer,handed,1.186523438e-01,8.813476563e-01,1.050516692e+04
singulaer,handed,1.191406250e-01,8.808593750e-01,1.050141769e+04
singulaer,handed,1.196289062e-01,8.803710938e-01,1.049969960e+04
singulaer,handed,1.201171875e-01,8.798828125e-01,1.050004392e+04
singulaer,handed,1.206054688e-01,8.793945312e-01,1.050244436e+04
singulaer,handed,1.210937500e-01,8.789062500e-01,1.050685737e+04
singulaer,handed,1.215820312e-01,8.784179688e-01,1.051320413e+04
singulaer,handed,1.220703125e-01,8.779296875e-01,1.052137393e+04
singulaer,handed,1.225585938e-01,8.774414063e-01,1.053122896e+04
singulaer,handed,1.230468750e-01,8.769531250e-01,1.054260981e+04
singulaer,handed,1.235351562e-01,8.764648437e-01,1.055534153e+04
singulaer,handed,1.240234375e-01,8.759765625e-01,1.056923973e+04
singulaer,handed,1.245117188e-01,8.754882812e-01,1.058411643e+04
singulaer,handed,1.250000000e-01,8.750000000e-01,1.059978534e+04
singulaer,handed,1.254882812e-01,8.745117188e-01,1.062455582e+04
singulaer,handed,1.259765625e-01,8.740234375e-01,1.064553203e+04
singulaer,handed,1.264648438e-01,8.735351563e-01,1.066322680e+04
singulaer,handed,1.269531250e-01,8.730468750e-01,1.067804058e+04
singulaer,handed,1.274414062e-01,8.725585937e-01,1.069028671e+04
singulaer,handed,1.279296875e-01,8.720703125e-01,1.070020960e+04
singulaer,handed,1.284179688e-01,8.715820312e-01,1.070799782e+04
singulaer,handed,1.289062500e-01,8.710937500e-01,1.071379356e+04
singulaer,handed,1.293945312e-01,8.706054688e-01,1.071769935e+04
singulaer,handed,1.298828125e-01,8.701171875e-01,1.071978273e+04
singulaer,handed,1.303710938e-01,8.696289062e-01,1.072007924e+04
singulaer,handed,1.308593750e-01,8.691406250e-01,1.071859390e+04
singulaer,handed,1.313476562e-01,8.686523437e-01,1.071530146e+04
singulaer,handed,1.318359375e-01,8.681640625e-01,1.071014529e+04
singulaer,handed,1.323242188e-01,8.676757812e-01,1.070303496e+04
singulaer,handed,1.328125000e-01,8.671875000e-01,1.069384212e+04
singulaer,handed,1.333007812e-01,8.666992188e-01,1.069384212e+04
singulaer,handed,1.337890625e-01,8.662109375e-01,1.069384212e+04
singulaer,handed,1.342773438e-01,8.657226562e-01,1.069384212e+04
singulaer,handed,1.347656250e-01,8.652343750e-01,1.069384212e+04
singulaer,handed,1.352539062e-01,8.647460938e-01,1.069384212e+04
