# Druckhaushalt gegen den Volumenstrom.  Q ist eine EINGABE; dieser
# Lauf berechnet ihn nicht.  Ein nicht auswertbarer Punkt steht als nan.
Q_m3_per_s,status,driving_Pa,hydrostatic_Pa,viscous_Pa,delta_p_exit_Pa,Pi,reynolds,entrance_fraction,wall_shear_Pa,mean_velocity_m_per_s
3.350000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.519147937e+04,-6.151479374e+03,-6.804733821e-01,1.470454398e-03,2.940908795e-06,1.265956615e+02,4.265352475e-03
3.400000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.541821787e+04,-6.378217873e+03,-7.055550744e-01,1.492401478e-03,2.984802956e-06,1.284851489e+02,4.329014452e-03
3.450000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.564495637e+04,-6.604956371e+03,-7.306367667e-01,1.514348559e-03,3.028697118e-06,1.303746364e+02,4.392676429e-03
3.500000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.587169487e+04,-6.831694869e+03,-7.557184589e-01,1.536295639e-03,3.072591279e-06,1.322641239e+02,4.456338407e-03
3.550000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.609843337e+04,-7.058433367e+03,-7.808001512e-01,1.558242720e-03,3.116485440e-06,1.341536114e+02,4.520000384e-03
3.600000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.632517187e+04,-7.285171865e+03,-8.058818435e-01,1.580189800e-03,3.160379601e-06,1.360430989e+02,4.583662361e-03
3.650000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.655191036e+04,-7.511910363e+03,-8.309635358e-01,1.602136881e-03,3.204273762e-06,1.379325864e+02,4.647324338e-03
3.700000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.677864886e+04,-7.738648861e+03,-8.560452280e-01,1.624083962e-03,3.248167923e-06,1.398220738e+02,4.710986316e-03
3.750000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.700538736e+04,-7.965387359e+03,-8.811269203e-01,1.646031042e-03,3.292062084e-06,1.417115613e+02,4.774648293e-03
3.800000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.723212586e+04,-8.192125858e+03,-9.062086126e-01,1.667978123e-03,3.335956245e-06,1.436010488e+02,4.838310270e-03
3.850000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.745886436e+04,-8.418864356e+03,-9.312903048e-01,1.689925203e-03,3.379850407e-06,1.454905363e+02,4.901972247e-03
3.900000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.768560285e+04,-8.645602854e+03,-9.563719971e-01,1.711872284e-03,3.423744568e-06,1.473800238e+02,4.965634224e-03
3.950000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.791234135e+04,-8.872341352e+03,-9.814536894e-01,1.733819364e-03,3.467638729e-06,1.492695113e+02,5.029296202e-03
4.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.813907985e+04,-9.099079850e+03,-1.006535382e+00,1.755766445e-03,3.511532890e-06,1.511589988e+02,5.092958179e-03
4.050000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.836581835e+04,-9.325818348e+03,-1.031617074e+00,1.777713526e-03,3.555427051e-06,1.530484862e+02,5.156620156e-03
4.100000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.859255685e+04,-9.552556846e+03,-1.056698766e+00,1.799660606e-03,3.599321212e-06,1.549379737e+02,5.220282133e-03
4.150000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.881929534e+04,-9.779295344e+03,-1.081780458e+00,1.821607687e-03,3.643215373e-06,1.568274612e+02,5.283944111e-03
4.200000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.904603384e+04,-1.000603384e+04,-1.106862151e+00,1.843554767e-03,3.687109534e-06,1.587169487e+02,5.347606088e-03
4.250000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.927277234e+04,-1.023277234e+04,-1.131943843e+00,1.865501848e-03,3.731003696e-06,1.606064362e+02,5.411268065e-03
4.300000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.949951084e+04,-1.045951084e+04,-1.157025535e+00,1.887448928e-03,3.774897857e-06,1.624959237e+02,5.474930042e-03
4.350000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.972624934e+04,-1.068624934e+04,-1.182107228e+00,1.909396009e-03,3.818792018e-06,1.643854111e+02,5.538592020e-03
4.400000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.995298784e+04,-1.091298784e+04,-1.207188920e+00,1.931343089e-03,3.862686179e-06,1.662748986e+02,5.602253997e-03
4.450000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.017972633e+04,-1.113972633e+04,-1.232270612e+00,1.953290170e-03,3.906580340e-06,1.681643861e+02,5.665915974e-03
4.500000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.040646483e+04,-1.136646483e+04,-1.257352304e+00,1.975237251e-03,3.950474501e-06,1.700538736e+02,5.729577951e-03
4.550000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.063320333e+04,-1.159320333e+04,-1.282433997e+00,1.997184331e-03,3.994368662e-06,1.719433611e+02,5.793239929e-03
4.600000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.085994183e+04,-1.181994183e+04,-1.307515689e+00,2.019131412e-03,4.038262823e-06,1.738328486e+02,5.856901906e-03
4.650000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.108668033e+04,-1.204668033e+04,-1.332597381e+00,2.041078492e-03,4.082156985e-06,1.757223360e+02,5.920563883e-03
4.700000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.131341882e+04,-1.227341882e+04,-1.357679073e+00,2.063025573e-03,4.126051146e-06,1.776118235e+02,5.984225860e-03
4.750000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.154015732e+04,-1.250015732e+04,-1.382760766e+00,2.084972653e-03,4.169945307e-06,1.795013110e+02,6.047887837e-03
4.800000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.176689582e+04,-1.272689582e+04,-1.407842458e+00,2.106919734e-03,4.213839468e-06,1.813907985e+02,6.111549815e-03
4.850000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.199363432e+04,-1.295363432e+04,-1.432924150e+00,2.128866815e-03,4.257733629e-06,1.832802860e+02,6.175211792e-03
4.900000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.222037282e+04,-1.318037282e+04,-1.458005843e+00,2.150813895e-03,4.301627790e-06,1.851697735e+02,6.238873769e-03
4.950000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.244711131e+04,-1.340711131e+04,-1.483087535e+00,2.172760976e-03,4.345521951e-06,1.870592610e+02,6.302535746e-03
5.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.267384981e+04,-1.363384981e+04,-1.508169227e+00,2.194708056e-03,4.389416112e-06,1.889487484e+02,6.366197724e-03
5.050000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.290058831e+04,-1.386058831e+04,-1.533250919e+00,2.216655137e-03,4.433310274e-06,1.908382359e+02,6.429859701e-03
5.100000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.312732681e+04,-1.408732681e+04,-1.558332612e+00,2.238602217e-03,4.477204435e-06,1.927277234e+02,6.493521678e-03
5.150000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.335406531e+04,-1.431406531e+04,-1.583414304e+00,2.260549298e-03,4.521098596e-06,1.946172109e+02,6.557183655e-03
5.200000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.358080381e+04,-1.454080381e+04,-1.608495996e+00,2.282496378e-03,4.564992757e-06,1.965066984e+02,6.620845633e-03
5.250000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.380754230e+04,-1.476754230e+04,-1.633577688e+00,2.304443459e-03,4.608886918e-06,1.983961859e+02,6.684507610e-03
5.300000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.403428080e+04,-1.499428080e+04,-1.658659381e+00,2.326390540e-03,4.652781079e-06,2.002856733e+02,6.748169587e-03
5.350000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.426101930e+04,-1.522101930e+04,-1.683741073e+00,2.348337620e-03,4.696675240e-06,2.021751608e+02,6.811831564e-03
5.400000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.448775780e+04,-1.544775780e+04,-1.708822765e+00,2.370284701e-03,4.740569401e-06,2.040646483e+02,6.875493542e-03
5.450000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.471449630e+04,-1.567449630e+04,-1.733904457e+00,2.392231781e-03,4.784463563e-06,2.059541358e+02,6.939155519e-03
5.500000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.494123479e+04,-1.590123479e+04,-1.758986150e+00,2.414178862e-03,4.828357724e-06,2.078436233e+02,7.002817496e-03
5.550000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.516797329e+04,-1.612797329e+04,-1.784067842e+00,2.436125942e-03,4.872251885e-06,2.097331108e+02,7.066479473e-03
5.600000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.539471179e+04,-1.635471179e+04,-1.809149534e+00,2.458073023e-03,4.916146046e-06,2.116225983e+02,7.130141451e-03
5.650000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.562145029e+04,-1.658145029e+04,-1.834231227e+00,2.480020104e-03,4.960040207e-06,2.135120857e+02,7.193803428e-03
5.700000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.584818879e+04,-1.680818879e+04,-1.859312919e+00,2.501967184e-03,5.003934368e-06,2.154015732e+02,7.257465405e-03
5.750000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.607492728e+04,-1.703492728e+04,-1.884394611e+00,2.523914265e-03,5.047828529e-06,2.172910607e+02,7.321127382e-03
5.800000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.630166578e+04,-1.726166578e+04,-1.909476303e+00,2.545861345e-03,5.091722690e-06,2.191805482e+02,7.384789359e-03
5.850000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.652840428e+04,-1.748840428e+04,-1.934557996e+00,2.567808426e-03,5.135616852e-06,2.210700357e+02,7.448451337e-03
5.900000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.675514278e+04,-1.771514278e+04,-1.959639688e+00,2.589755506e-03,5.179511013e-06,2.229595232e+02,7.512113314e-03
5.950000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.698188128e+04,-1.794188128e+04,-1.984721380e+00,2.611702587e-03,5.223405174e-06,2.248490106e+02,7.575775291e-03
6.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,2.720861978e+04,-1.816861978e+04,-2.009803072e+00,2.633649667e-03,5.267299335e-06,2.267384981e+02,7.639437268e-03
