# Materialgebiet je Zelle
i,j,region
85,4,vacuum
86,4,vacuum
87,4,vacuum
88,4,vacuum
89,4,vacuum
90,4,vacuum
91,4,vacuum
92,4,vacuum
93,4,vacuum
94,4,vacuum
95,4,vacuum
96,4,vacuum
97,4,vacuum
98,4,vacuum
99,4,vacuum
100,4,vacuum
101,4,vacuum
102,4,vacuum
103,4,vacuum
104,4,vacuum
105,4,vacuum
106,4,vacuum
107,4,vacuum
108,4,vacuum
109,4,vacuum
110,4,vacuum
111,4,vacuum
112,4,vacuum
113,4,vacuum
114,4,vacuum
115,4,vacuum
116,4,vacuum
117,4,vacuum
118,4,vacuum
119,4,vacuum
120,4,vacuum
121,4,vacuum
122,4,vacuum
123,4,vacuum
124,4,vacuum
125,4,vacuum
126,4,vacuum
127,4,vacuum
128,4,vacuum
129,4,vacuum
130,4,vacuum
131,4,vacuum
132,4,vacuum
133,4,vacuum
134,4,vacuum
135,4,vacuum
136,4,vacuum
137,4,vacuum
138,4,vacuum
139,4,vacuum
140,4,vacuum
141,4,vacuum
142,4,vacuum
143,4,vacuum
144,4,vacuum
145,4,vacuum
146,4,vacuum
147,4,vacuum
148,4,vacuum
149,4,vacuum
150,4,vacuum
151,4,vacuum
152,4,vacuum
153,4,vacuum
154,4,vacuum
155,4,vacuum
156,4,vacuum
157,4,vacuum
158,4,vacuum
159,4,vacuum
160,4,vacuum
161,4,vacuum
162,4,vacuum
163,4,vacuum
164,4,vacuum
165,4,vacuum
166,4,vacuum
167,4,vacuum
168,4,vacuum
169,4,vacuum
170,4,vacuum
171,4,vacuum
172,4,vacuum
173,4,vacuum
174,4,vacuum
175,4,vacuum
176,4,vacuum
177,4,vacuum
178,4,vacuum
179,4,vacuum
180,4,vacuum
181,4,vacuum
182,4,vacuum
183,4,vacuum
184,4,vacuum
185,4,vacuum
186,4,vacuum
187,4,vacuum
188,4,vacuum
189,4,vacuum
190,4,vacuum
191,4,vacuum
192,4,vacuum
193,4,vacuum
194,4,vacuum
195,4,vacuum
196,4,vacuum
197,4,vacuum
198,4,vacuum
199,4,vacuum
200,4,vacuum
201,4,vacuum
202,4,vacuum
203,4,vacuum
204,4,vacuum
205,4,vacuum
206,4,vacuum
207,4,vacuum
208,4,vacuum
209,4,vacuum
210,4,vacuum
211,4,vacuum
212,4,vacuum
213,4,vacuum
214,4,vacuum
215,4,vacuum
216,4,vacuum
217,4,vacuum
218,4,vacuum
219,4,vacuum
220,4,vacuum
221,4,vacuum
222,4,vacuum
223,4,vacuum
224,4,vacuum
225,4,vacuum
226,4,vacuum
227,4,vacuum
228,4,vacuum
229,4,vacuum
230,4,vacuum
231,4,vacuum
232,4,vacuum
233,4,vacuum
234,4,vacuum
235,4,vacuum
236,4,vacuum
237,4,vacuum
0,5,vacuum
1,5,vacuum
2,5,vacuum
3,5,vacuum
4,5,vacuum
5,5,vacuum
6,5,vacuum
7,5,vacuum
8,5,vacuum
9,5,vacuum
10,5,vacuum
11,5,vacuum
12,5,vacuum
13,5,vacuum
14,5,vacuum
15,5,vacuum
16,5,vacuum
17,5,vacuum
18,5,vacuum
19,5,vacuum
20,5,vacuum
21,5,vacuum
22,5,vacuum
23,5,vacuum
24,5,vacuum
25,5,vacuum
26,5,vacuum
27,5,vacuum
28,5,vacuum
29,5,vacuum
30,5,vacuum
31,5,vacuum
32,5,vacuum
33,5,vacuum
34,5,vacuum
35,5,vacuum
36,5,vacuum
37,5,vacuum
38,5,vacuum
39,5,vacuum
40,5,vacuum
41,5,vacuum
42,5,vacuum
43,5,vacuum
44,5,vacuum
45,5,vacuum
46,5,vacuum
47,5,vacuum
48,5,vacuum
49,5,vacuum
50,5,vacuum
51,5,vacuum
52,5,vacuum
53,5,vacuum
54,5,vacuum
55,5,vacuum
56,5,vacuum
57,5,vacuum
58,5,vacuum
59,5,vacuum
60,5,vacuum
61,5,vacuum
62,5,vacuum
63,5,vacuum
64,5,vacuum
65,5,vacuum
66,5,vacuum
67,5,vacuum
68,5,vacuum
69,5,vacuum
70,5,vacuum
71,5,vacuum
72,5,vacuum
73,5,vacuum
74,5,vacuum
75,5,vacuum
76,5,vacuum
77,5,vacuum
78,5,vacuum
79,5,vacuum
80,5,vacuum
81,5,vacuum
82,5,vacuum
83,5,vacuum
84,5,vacuum
85,5,vacuum
86,5,vacuum
87,5,vacuum
88,5,vacuum
89,5,vacuum
90,5,vacuum
91,5,vacuum
92,5,vacuum
93,5,vacuum
94,5,vacuum
95,5,vacuum
96,5,vacuum
97,5,vacuum
98,5,vacuum
99,5,vacuum
100,5,vacuum
101,5,vacuum
102,5,vacuum
103,5,vacuum
104,5,vacuum
105,5,vacuum
106,5,vacuum
107,5,vacuum
108,5,vacuum
109,5,vacuum
110,5,vacuum
111,5,vacuum
112,5,vacuum
113,5,vacuum
114,5,vacuum
115,5,vacuum
116,5,vacuum
117,5,vacuum
118,5,vacuum
119,5,vacuum
120,5,vacuum
121,5,vacuum
122,5,vacuum
123,5,vacuum
124,5,vacuum
125,5,vacuum
126,5,vacuum
127,5,vacuum
128,5,vacuum
129,5,vacuum
130,5,vacuum
131,5,vacuum
132,5,vacuum
133,5,vacuum
134,5,vacuum
135,5,vacuum
136,5,vacuum
137,5,vacuum
138,5,vacuum
139,5,vacuum
140,5,vacuum
141,5,vacuum
142,5,vacuum
143,5,vacuum
144,5,vacuum
145,5,vacuum
146,5,vacuum
147,5,vacuum
148,5,vacuum
149,5,vacuum
150,5,vacuum
151,5,vacuum
152,5,vacuum
153,5,vacuum
154,5,vacuum
155,5,vacuum
156,5,vacuum
157,5,vacuum
158,5,vacuum
159,5,vacuum
160,5,vacuum
161,5,vacuum
162,5,vacuum
163,5,vacuum
164,5,vacuum
165,5,vacuum
166,5,vacuum
167,5,vacuum
168,5,vacuum
169,5,vacuum
170,5,vacuum
171,5,vacuum
172,5,vacuum
173,5,vacuum
174,5,vacuum
175,5,vacuum
176,5,vacuum
177,5,vacuum
178,5,vacuum
179,5,vacuum
180,5,vacuum
181,5,vacuum
182,5,vacuum
183,5,vacuum
184,5,vacuum
185,5,vacuum
186,5,vacuum
187,5,vacuum
188,5,vacuum
189,5,vacuum
190,5,vacuum
191,5,vacuum
192,5,vacuum
193,5,vacuum
194,5,vacuum
195,5,vacuum
196,5,vacuum
197,5,vacuum
198,5,vacuum
199,5,vacuum
200,5,vacuum
201,5,vacuum
202,5,vacuum
203,5,vacuum
204,5,vacuum
205,5,vacuum
206,5,vacuum
207,5,vacuum
208,5,vacuum
209,5,vacuum
210,5,vacuum
211,5,vacuum
212,5,vacuum
213,5,vacuum
214,5,vacuum
215,5,vacuum
216,5,vacuum
217,5,vacuum
218,5,vacuum
219,5,vacuum
220,5,vacuum
221,5,vacuum
222,5,vacuum
223,5,vacuum
224,5,vacuum
225,5,vacuum
226,5,vacuum
227,5,vacuum
228,5,vacuum
229,5,vacuum
230,5,vacuum
231,5,vacuum
232,5,vacuum
233,5,vacuum
234,5,vacuum
235,5,vacuum
236,5,vacuum
237,5,vacuum
0,6,vacuum
1,6,vacuum
2,6,vacuum
3,6,vacuum
4,6,vacuum
5,6,vacuum
6,6,vacuum
7,6,vacuum
8,6,vacuum
9,6,vacuum
10,6,vacuum
11,6,vacuum
12,6,vacuum
13,6,vacuum
14,6,vacuum
15,6,vacuum
16,6,vacuum
17,6,vacuum
18,6,vacuum
19,6,vacuum
20,6,vacuum
21,6,vacuum
22,6,vacuum
23,6,vacuum
24,6,vacuum
25,6,vacuum
26,6,vacuum
27,6,vacuum
28,6,vacuum
29,6,vacuum
30,6,vacuum
31,6,vacuum
32,6,vacuum
33,6,vacuum
34,6,vacuum
35,6,vacuum
36,6,vacuum
37,6,vacuum
38,6,vacuum
39,6,vacuum
40,6,vacuum
41,6,vacuum
42,6,vacuum
43,6,vacuum
44,6,vacuum
45,6,vacuum
46,6,vacuum
47,6,vacuum
48,6,vacuum
49,6,vacuum
