# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
164,1,1.028315419e-03,-4.836488260e-03
165,1,1.107064121e-03,-4.836488260e-03
166,1,1.193057227e-03,-4.836488260e-03
167,1,1.286983765e-03,-4.836488260e-03
168,1,1.389582490e-03,-4.836488260e-03
169,1,1.501687528e-03,-4.836488260e-03
170,1,1.618967549e-03,-4.836488260e-03
171,1,1.727165678e-03,-4.836488260e-03
172,1,1.826235815e-03,-4.836488260e-03
173,1,1.916950625e-03,-4.836488260e-03
174,1,2.000000000e-03,-4.836488260e-03
175,1,2.082774889e-03,-4.836488260e-03
176,1,2.173107050e-03,-4.836488260e-03
177,1,2.271750002e-03,-4.836488260e-03
178,1,2.379493458e-03,-4.836488260e-03
179,1,2.497113169e-03,-4.836488260e-03
180,1,2.625517812e-03,-4.836488260e-03
181,1,2.765775452e-03,-4.836488260e-03
182,1,2.918996293e-03,-4.836488260e-03
183,1,3.080897764e-03,-4.836488260e-03
184,1,3.243063259e-03,-4.836488260e-03
185,1,3.405228754e-03,-4.836488260e-03
186,1,3.567394249e-03,-4.836488260e-03
187,1,3.729559744e-03,-4.836488260e-03
188,1,3.891725240e-03,-4.836488260e-03
189,1,4.053890735e-03,-4.836488260e-03
190,1,4.216056230e-03,-4.836488260e-03
191,1,4.378221725e-03,-4.836488260e-03
192,1,4.540387220e-03,-4.836488260e-03
193,1,4.702552716e-03,-4.836488260e-03
194,1,4.864718211e-03,-4.836488260e-03
195,1,5.026883706e-03,-4.836488260e-03
196,1,5.189049201e-03,-4.836488260e-03
197,1,5.351214697e-03,-4.836488260e-03
198,1,5.513380192e-03,-4.836488260e-03
199,1,5.675545687e-03,-4.836488260e-03
200,1,5.837711182e-03,-4.836488260e-03
201,1,5.999876677e-03,-4.836488260e-03
202,1,6.162042173e-03,-4.836488260e-03
203,1,6.324207668e-03,-4.836488260e-03
204,1,6.486373163e-03,-4.836488260e-03
205,1,6.648538658e-03,-4.836488260e-03
206,1,6.810704153e-03,-4.836488260e-03
207,1,6.972869649e-03,-4.836488260e-03
208,1,7.135035144e-03,-4.836488260e-03
209,1,7.297200639e-03,-4.836488260e-03
210,1,7.459366134e-03,-4.836488260e-03
211,1,7.621531629e-03,-4.836488260e-03
212,1,7.783697125e-03,-4.836488260e-03
213,1,7.945862620e-03,-4.836488260e-03
214,1,8.108028115e-03,-4.836488260e-03
215,1,8.270193610e-03,-4.836488260e-03
216,1,8.432359105e-03,-4.836488260e-03
217,1,8.594524601e-03,-4.836488260e-03
218,1,8.756690096e-03,-4.836488260e-03
219,1,8.918855591e-03,-4.836488260e-03
220,1,9.081021086e-03,-4.836488260e-03
221,1,9.243186581e-03,-4.836488260e-03
222,1,9.405352077e-03,-4.836488260e-03
223,1,9.567517572e-03,-4.836488260e-03
224,1,9.729683067e-03,-4.836488260e-03
225,1,9.891848562e-03,-4.836488260e-03
226,1,1.005401406e-02,-4.836488260e-03
227,1,1.021617955e-02,-4.836488260e-03
228,1,1.037834505e-02,-4.836488260e-03
229,1,1.054051054e-02,-4.836488260e-03
230,1,1.070267604e-02,-4.836488260e-03
231,1,1.086484153e-02,-4.836488260e-03
232,1,1.102700703e-02,-4.836488260e-03
233,1,1.118917252e-02,-4.836488260e-03
234,1,1.135133802e-02,-4.836488260e-03
235,1,1.151350351e-02,-4.836488260e-03
236,1,1.167566901e-02,-4.836488260e-03
237,1,1.183783450e-02,-4.836488260e-03
238,1,1.200000000e-02,-4.836488260e-03
0,2,0.000000000e+00,-4.672976521e-03
1,2,2.253927972e-07,-4.672976521e-03
2,2,4.710108625e-07,-4.672976521e-03
3,2,7.388114821e-07,-4.672976521e-03
4,2,1.030777353e-06,-4.672976521e-03
5,2,1.349134956e-06,-4.672976521e-03
6,2,1.696071563e-06,-4.672976521e-03
7,2,2.065284294e-06,-4.672976521e-03
8,2,2.411371865e-06,-4.672976521e-03
9,2,2.728827367e-06,-4.672976521e-03
10,2,3.019944202e-06,-4.672976521e-03
11,2,3.287031469e-06,-4.672976521e-03
12,2,3.531983203e-06,-4.672976521e-03
13,2,3.756739224e-06,-4.672976521e-03
14,2,3.962851098e-06,-4.672976521e-03
15,2,4.151964219e-06,-4.672976521e-03
16,2,4.325432522e-06,-4.672976521e-03
17,2,4.484611324e-06,-4.672976521e-03
18,2,4.630594259e-06,-4.672976521e-03
19,2,4.764494569e-06,-4.672976521e-03
20,2,4.887303601e-06,-4.672976521e-03
21,2,5.000000000e-06,-4.672976521e-03
22,2,5.344545024e-06,-4.672976521e-03
23,2,5.720728404e-06,-4.672976521e-03
24,2,6.131424688e-06,-4.672976521e-03
25,2,6.579792067e-06,-4.672976521e-03
26,2,7.069682790e-06,-4.672976521e-03
27,2,7.604221304e-06,-4.672976521e-03
28,2,8.187924336e-06,-4.672976521e-03
29,2,8.825326016e-06,-4.672976521e-03
30,2,9.521221193e-06,-4.672976521e-03
31,2,1.028089317e-05,-4.672976521e-03
32,2,1.111056343e-05,-4.672976521e-03
33,2,1.201639249e-05,-4.672976521e-03
34,2,1.298360751e-05,-4.672976521e-03
35,2,1.388943657e-05,-4.672976521e-03
36,2,1.471910683e-05,-4.672976521e-03
37,2,1.547877881e-05,-4.672976521e-03
38,2,1.617467398e-05,-4.672976521e-03
39,2,1.681207566e-05,-4.672976521e-03
40,2,1.739577870e-05,-4.672976521e-03
41,2,1.793031721e-05,-4.672976521e-03
42,2,1.842020793e-05,-4.672976521e-03
43,2,1.886857531e-05,-4.672976521e-03
44,2,1.927927160e-05,-4.672976521e-03
45,2,1.965545498e-05,-4.672976521e-03
46,2,2.000000000e-05,-4.672976521e-03
47,2,2.010805618e-05,-4.672976521e-03
48,2,2.022595285e-05,-4.672976521e-03
49,2,2.035459775e-05,-4.672976521e-03
50,2,2.049498821e-05,-4.672976521e-03
51,2,2.064826006e-05,-4.672976521e-03
52,2,2.081535157e-05,-4.672976521e-03
53,2,2.099777754e-05,-4.672976521e-03
54,2,2.119689800e-05,-4.672976521e-03
55,2,2.141410532e-05,-4.672976521e-03
56,2,2.165116416e-05,-4.672976521e-03
