# application : branch_figure
# state       : emitter and extractor geometry
# voltage     : 1154.5 V (emitter minus extractor)
# note        : meniscus in this mesh is the lower one
# WARNUNG     : Prototyp, keine validierte Simulation. Siehe docs/.
i,r_a,z_a,r_b,z_b,r_mid,z_mid,len,area,nr,nz,tag,body,potential
108,1.714285714e-05,0.000000000e+00,1.642857143e-05,0.000000000e+00,1.678571429e-05,0.000000000e+00,7.142857143e-07,7.533410955e-11,0.000000,1.000000,emitter,0,1.154497914e+03
109,1.642857143e-05,0.000000000e+00,1.571428571e-05,0.000000000e+00,1.607142857e-05,0.000000000e+00,7.142857143e-07,7.212840276e-11,0.000000,1.000000,emitter,0,1.154497914e+03
110,1.571428571e-05,0.000000000e+00,1.500000000e-05,0.000000000e+00,1.535714286e-05,0.000000000e+00,7.142857143e-07,6.892269597e-11,0.000000,1.000000,emitter,0,1.154497914e+03
111,1.500000000e-05,0.000000000e+00,1.428571429e-05,0.000000000e+00,1.464285714e-05,0.000000000e+00,7.142857143e-07,6.571698918e-11,0.000000,1.000000,emitter,0,1.154497914e+03
112,1.428571429e-05,0.000000000e+00,1.357142857e-05,0.000000000e+00,1.392857143e-05,0.000000000e+00,7.142857143e-07,6.251128239e-11,0.000000,1.000000,emitter,0,1.154497914e+03
113,1.357142857e-05,0.000000000e+00,1.285714286e-05,0.000000000e+00,1.321428571e-05,0.000000000e+00,7.142857143e-07,5.930557560e-11,0.000000,1.000000,emitter,0,1.154497914e+03
114,1.285714286e-05,0.000000000e+00,1.214285714e-05,0.000000000e+00,1.250000000e-05,0.000000000e+00,7.142857143e-07,5.609986881e-11,0.000000,1.000000,emitter,0,1.154497914e+03
115,1.214285714e-05,0.000000000e+00,1.142857143e-05,0.000000000e+00,1.178571429e-05,0.000000000e+00,7.142857143e-07,5.289416202e-11,0.000000,1.000000,emitter,0,1.154497914e+03
116,1.142857143e-05,0.000000000e+00,1.071428571e-05,0.000000000e+00,1.107142857e-05,0.000000000e+00,7.142857143e-07,4.968845524e-11,0.000000,1.000000,emitter,0,1.154497914e+03
117,1.071428571e-05,0.000000000e+00,1.000000000e-05,0.000000000e+00,1.035714286e-05,0.000000000e+00,7.142857143e-07,4.648274845e-11,0.000000,1.000000,emitter,0,1.154497914e+03
